,state,tract,B25091_017E,B25091_010E,B25091_011E,B25091_005E,B25091_003E,B25091_012E,B25091_016E,B25091_014E,B25091_004E,B25091_021E,B25091_020E,B25091_009E,B25091_023E,B25091_008E,B25091_001E,B25091_015E,B25091_018E,B25091_019E,B25091_022E,B25091_007E,B25091_006E,B25091_002E
0,06,015700,16,72,59,41,44,0,15,108,59,0,22,25,0,38,771,19,0,0,16,95,142,575
1,06,016400,10,0,31,73,31,0,0,71,19,0,0,11,0,11,385,21,27,0,0,29,51,256
2,06,015600,0,0,64,33,0,0,24,26,15,0,18,7,0,12,310,36,8,12,0,31,24,186
3,06,010200,43,32,144,18,45,0,40,95,95,39,7,22,0,63,843,46,0,0,99,38,17,474
4,06,010800,0,29,26,24,24,0,39,136,9,0,0,0,18,0,422,0,0,10,29,52,26,190
5,06,033100,10,61,220,83,50,0,13,232,90,28,0,25,0,138,1311,53,51,14,64,83,96,846
6,06,040200,0,53,76,34,48,0,0,192,111,0,18,35,0,22,761,19,20,21,0,0,112,491
7,06,031302,34,92,239,62,61,29,39,138,43,0,0,117,0,113,1279,108,9,0,32,65,98,919
8,06,032601,26,26,107,50,8,0,30,175,29,0,0,9,0,70,762,54,0,0,0,137,41,477
9,06,032602,57,10,149,72,24,0,8,170,42,37,0,27,17,33,808,42,9,0,7,59,45,461
10,06,032801,17,29,70,78,3,0,33,258,41,6,0,0,0,52,788,73,0,10,20,38,60,371
11,06,012302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0
12,06,012401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,06,012402,0,0,15,0,0,0,0,15,30,0,0,0,0,0,152,0,0,0,0,39,53,137
14,06,012501,0,14,14,0,0,0,0,0,0,0,0,7,0,0,62,0,0,14,0,0,13,48
15,06,012502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,21,0,0,0
16,06,012601,0,11,29,17,0,0,40,48,23,6,0,0,0,29,257,14,0,0,4,7,29,145
17,06,012602,11,8,54,37,29,0,12,26,29,0,4,38,0,36,313,0,0,0,11,12,6,249
18,06,012901,0,9,31,72,8,0,10,51,51,0,0,18,0,31,364,9,0,0,16,10,48,278
19,06,010300,0,14,62,47,20,0,12,130,66,0,12,0,8,15,534,29,28,12,48,12,19,255
20,06,011000,10,0,11,137,13,0,35,64,15,0,0,0,0,27,488,41,0,0,38,23,74,300
21,06,015400,13,84,82,48,53,0,12,85,106,20,0,0,0,13,856,85,24,13,48,27,143,556
22,06,010400,29,90,117,86,62,0,53,156,15,0,0,17,0,42,858,56,16,0,47,43,29,501
23,06,025500,16,210,296,261,91,20,63,236,76,15,0,64,11,8,1946,12,14,0,47,287,219,1532
24,06,025600,44,124,155,93,25,0,10,208,78,8,0,54,0,46,1117,117,0,9,7,87,52,714
25,06,025800,0,44,60,52,0,0,7,92,13,0,0,7,0,12,377,31,0,0,0,35,24,247
26,06,026001,0,73,117,78,12,0,44,107,51,10,18,34,0,69,805,45,20,0,0,71,56,561
27,06,045100,0,6,132,114,31,0,15,147,67,0,18,0,0,27,750,71,0,16,16,14,76,467
28,06,045200,48,33,140,53,33,14,0,200,62,0,0,29,0,81,994,25,13,0,0,164,99,708
29,06,026100,58,39,103,75,39,0,26,172,68,20,36,91,7,69,1148,65,11,9,29,107,124,715
30,06,023300,11,33,103,42,15,13,7,37,59,4,0,68,0,64,566,17,4,0,12,29,48,474
31,06,025300,0,28,76,114,46,0,18,178,56,0,0,22,0,40,722,12,0,0,0,54,78,514
32,06,025401,0,53,58,44,62,0,8,43,82,9,0,17,0,34,567,35,0,0,0,68,54,472
33,06,026301,10,15,94,73,13,0,72,158,55,0,0,0,8,48,822,47,14,35,47,82,51,431
34,06,026302,41,15,118,66,36,0,18,155,27,0,7,67,7,97,931,83,16,0,10,117,51,594
35,06,026303,12,57,133,44,56,0,26,154,20,0,0,0,7,56,754,44,12,0,11,42,80,488
36,06,030500,13,25,69,110,4,0,32,118,25,0,0,27,0,37,752,62,12,0,27,71,120,488
37,06,031100,66,61,190,170,81,0,0,192,154,22,0,86,0,112,1648,135,16,0,0,58,305,1217
38,06,012902,15,16,105,29,9,17,40,52,9,0,12,28,0,0,446,0,0,0,29,85,0,298
39,06,013101,0,0,58,61,13,0,17,59,51,0,19,51,0,63,459,17,0,0,17,0,33,330
