,state,tract,H094009,H094005,H094008,H094001,H094007,H094004,H094003,H094006,H094018,H094016,H094017,H094010,H094011,H094012,H094014,H094015,H094019,H094020,H094021,H094022,H094023,HCT047A021,HCT047C020,HCT047H001,HCT047H011,HCT047B020,HCT047C023,HCT047A020,HCT047C019,HCT047F011,HCT047A012,HCT047G021,HCT047A001,HCT047G010,HCT047G009,HCT047I020,HCT047F001,HCT047E022,HCT047E010,HCT047A011,HCT047G023,HCT047F019,HCT047I011,HCT047A023,HCT047I012,HCT047H009,HCT047F009,HCT047F010,HCT047I021,HCT047C011,HCT047A008,HCT047E020,HCT047H022,HCT047A022,HCT047H023,HCT047F022,HCT047B023,HCT047A019,HCT047I009,HCT047G019,HCT047B012,HCT047E001,HCT047G022,HCT047C009,HCT047G008,HCT047I019,HCT047D010,HCT047E023,HCT047G001,HCT047H020,HCT047G012,HCT047A010,HCT047B010,HCT047F023,HCT047E008,HCT047H012,HCT047D023,HCT047E021,HCT047C021,HCT047E019,HCT047C008,HCT047E012,HCT047D011,HCT047G011,HCT047D008,HCT047B009,HCT047C022,HCT047D012,HCT047C012,HCT047H010,HCT047E009,HCT047F020,HCT047A009,HCT047B022,HCT047B019,HCT047I010,HCT047H019,HCT047F021,HCT047G020,HCT047D021,HCT047F012,HCT047I022,HCT047H021,HCT047E011,HCT047I001,HCT047B011,HCT047D009,HCT047C001,HCT047I008,HCT047B008,HCT047F008,HCT047D019,HCT047B021,HCT047D001,HCT047D020,HCT047B001,HCT047I023,HCT047C010,HCT047D022,HCT047H008
49,06,0166,9,0,0,47,0,7,0,0,0,0,0,6,8,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,6,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,06,0167,0,25,0,131,8,13,17,9,0,0,0,0,15,0,26,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,27,0,11,0,0,0,0
51,06,0168,0,6,8,126,0,30,0,4,0,0,0,42,22,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,42,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,102,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
52,06,0169,0,15,11,108,11,11,6,15,0,0,0,5,12,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,12,0,0,12,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,77,0,0,11,11,0,0,0,11,0,0,20,0,0,0,0
53,06,0170,23,7,15,388,29,49,65,38,0,6,8,0,41,0,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,0,8,0,0,0,0,41,0,0,41,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,332,0,7,0,15,0,0,0,0,41,0,7,0,0,0,0
54,06,0171,12,39,48,564,49,93,30,51,0,22,0,25,50,0,102,22,0,0,7,14,0,7,0,7,0,0,0,0,0,0,0,0,510,0,0,0,0,0,0,35,0,0,35,0,0,0,0,0,7,0,48,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,12,0,0,25,0,0,0,0,0,0,0,0,503,0,0,0,48,0,0,0,0,43,0,11,0,0,14,0
55,06,017601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,06,017602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,06,0177,0,0,0,19,0,7,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
58,06,0178,22,37,0,99,0,13,0,0,0,0,0,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,9,0,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,9,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,12,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
