,state,tract,B25091_017E,B25091_010E,B25091_011E,B25091_005E,B25091_003E,B25091_012E,B25091_016E,B25091_014E,B25091_004E,B25091_021E,B25091_020E,B25091_009E,B25091_023E,B25091_008E,B25091_001E,B25091_015E,B25091_018E,B25091_019E,B25091_022E,B25091_007E,B25091_006E,B25091_002E
0,06,047701,13,63,95,0,7,0,68,207,37,0,0,25,0,64,770,42,0,0,22,22,105,418
1,06,047702,51,54,31,11,12,8,27,121,57,0,0,13,6,38,663,95,14,28,14,10,73,307
2,06,060502,0,34,66,34,8,0,0,3,0,0,0,4,0,15,202,18,0,6,0,8,6,175
3,06,060700,0,227,490,223,10,0,0,58,92,0,37,70,0,108,1693,35,0,0,23,152,168,1540
4,06,047902,10,57,102,48,40,36,8,137,24,0,0,48,32,37,702,35,8,0,0,36,44,472
5,06,060400,0,7,34,12,0,0,0,24,3,0,0,0,0,7,163,7,0,0,6,38,25,126
6,06,010900,0,54,92,0,23,0,57,138,39,18,0,30,0,17,574,29,0,0,15,33,29,317
7,06,011800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0
8,06,012100,12,0,0,0,0,0,0,17,16,0,0,29,0,16,142,0,15,0,0,18,19,98
9,06,012800,0,66,217,31,41,0,15,154,26,28,0,0,0,42,820,80,26,11,19,32,32,487
10,06,015500,12,0,54,19,0,0,0,0,0,0,0,0,0,0,227,49,0,0,0,0,93,166
11,06,016100,0,12,12,12,0,0,0,35,0,0,0,9,0,0,132,0,0,0,7,0,45,90
12,06,016300,0,4,33,0,78,0,0,18,47,0,0,11,0,74,352,7,0,14,15,43,8,298
13,06,017601,0,84,20,64,0,0,11,40,53,0,0,56,0,101,541,37,0,0,18,0,57,435
14,06,020100,27,39,74,84,51,0,0,13,16,0,0,26,0,88,564,0,0,12,34,50,50,478
15,06,020600,28,35,175,93,85,0,11,67,125,0,16,66,14,103,1144,13,0,0,38,121,154,957
16,06,020900,0,11,27,23,22,8,14,20,14,0,0,0,0,52,233,0,0,9,0,9,24,190
17,06,021800,10,25,42,83,28,6,32,193,115,0,12,56,0,38,976,51,10,0,21,84,170,647
18,06,022600,0,39,41,53,29,0,0,0,65,0,4,51,0,22,443,6,0,0,0,92,41,433
19,06,023102,0,98,87,32,0,0,0,76,24,12,0,12,0,61,500,18,0,0,0,37,43,394
20,06,025100,0,123,159,181,29,5,11,156,49,0,4,19,14,80,1013,29,0,3,12,69,70,784
21,06,026404,3,46,42,29,5,0,4,89,4,0,0,26,0,24,347,21,8,0,5,19,22,217
22,06,030600,0,37,50,60,52,0,0,148,54,0,4,61,0,22,743,56,20,0,0,101,78,515
23,06,031000,0,36,227,136,9,0,14,130,30,0,0,54,20,31,986,58,9,20,10,127,75,725
24,06,033201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,06,011100,30,39,60,32,0,0,0,0,58,0,0,0,0,38,394,90,0,0,0,13,34,274
26,06,011700,0,8,30,33,0,0,0,6,0,0,0,0,0,0,86,0,0,0,9,0,0,71
27,06,023400,0,76,37,17,13,0,32,51,21,0,0,25,3,0,383,23,3,5,3,58,16,263
28,06,016500,20,21,50,52,0,0,0,95,85,0,0,48,0,65,501,0,0,16,0,21,28,370
29,06,030700,24,216,209,181,40,16,57,461,179,0,0,139,0,156,2234,140,0,28,13,198,177,1511
30,06,035100,38,68,135,109,41,0,33,324,152,15,19,142,0,115,1575,107,0,17,16,100,144,1006
31,06,013000,39,0,120,73,16,0,9,113,41,0,0,50,0,33,700,28,17,40,44,49,28,410
32,06,022803,0,52,75,42,0,0,18,3,45,0,9,24,0,46,412,20,0,0,0,44,34,362
33,06,017000,6,31,129,154,9,0,14,68,42,0,0,50,34,126,1254,76,12,15,91,210,187,938
34,06,018000,0,10,166,64,31,0,0,0,25,0,0,46,0,27,588,9,0,8,10,70,122,561
35,06,021500,22,76,119,202,27,0,48,68,54,0,0,75,0,125,1143,32,0,0,0,98,197,973
36,06,016600,15,38,59,15,0,0,0,10,48,0,0,14,0,72,429,31,0,0,0,70,57,373
37,06,017902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,06,021400,10,51,96,114,68,0,31,167,75,0,0,34,0,37,833,9,10,0,0,60,71,606
39,06,021700,13,30,161,86,33,0,50,261,109,0,7,21,0,81,1270,26,27,14,19,157,175,853
40,06,022802,0,0,23,9,6,0,0,30,5,16,0,6,0,4,153,23,0,8,0,17,6,76
41,06,022901,7,13,36,54,11,0,21,56,33,0,0,35,0,0,324,0,0,0,15,0,43,225
42,06,022902,0,37,30,36,24,0,7,53,12,0,0,20,0,55,371,22,0,0,0,41,34,289
43,06,022903,5,32,115,26,0,0,13,31,48,0,7,32,0,40,477,21,0,7,0,54,46,393
