,state,tract,B25091_017E,B25091_010E,B25091_011E,B25091_005E,B25091_003E,B25091_012E,B25091_016E,B25091_014E,B25091_004E,B25091_021E,B25091_020E,B25091_009E,B25091_023E,B25091_008E,B25091_001E,B25091_015E,B25091_018E,B25091_019E,B25091_022E,B25091_007E,B25091_006E,B25091_002E,B25140C_004E,B25140F_001E,B25140F_005E,B25140E_005E,B25140G_003E,B25140A_007E,B25140G_008E,B25140B_007E,B25140A_004E,B25140E_001E,B25140A_001E,B25140G_005E,B25140_004E,B25140_005E,B25140I_001E,B25140B_003E,B25140G_004E,B25140A_005E,B25140I_005E,B25140B_005E,B25140D_005E,B25140C_003E,B25140D_004E,B25140D_003E,B25140E_007E,B25140E_009E,B25140H_009E,B25140F_003E,B25140_008E,B25140_009E,B25140E_008E,B25140C_009E,B25140_007E,B25140H_001E,B25140C_008E,B25140D_007E,B25140G_009E,B25140C_005E,B25140H_004E,B25140G_007E,B25140A_003E,B25140_003E,B25140A_008E,B25140H_005E,B25140C_007E,B25140F_004E,B25140_001E,B25140F_007E,B25140A_009E,B25140G_001E,B25140H_007E,B25140B_001E,B25140I_007E,B25140E_003E,B25140F_008E,B25140H_008E,B25140C_001E,B25140E_004E,B25140F_009E,B25140D_001E,B25140D_009E,B25140H_003E,B25140B_009E,B25140B_004E,B25140I_009E,B25140B_008E,B25140D_008E,B25140I_003E,B25140I_008E,B25140I_004E
234,06,061507,0,0,0,69,0,13,0,0,58,0,0,13,0,22,207,20,0,0,0,12,0,187,0,0,0,0,0,0,0,0,0,0,320,0,0,13,56,0,0,13,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,11,35,0,13,0,0,771,0,0,44,0,0,0,0,0,0,0,0,0,407,0,11,0,0,0,0,0,0,0,0
235,06,061508,0,19,108,55,18,0,0,97,52,0,0,0,0,51,418,0,0,0,12,0,6,309,0,28,0,0,19,0,0,0,108,17,605,0,108,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,605,0,12,0,0,108,0,127,146,0,0,0,0,1117,0,0,123,0,15,0,0,0,0,3,0,0,326,0,127,0,0,0,0,12,19,0,0
236,06,980200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,06,980300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,06,980401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,06,980501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0
240,06,980600,6,31,32,62,15,0,0,17,13,0,0,17,0,20,351,13,0,0,0,76,49,315,0,26,0,0,13,0,0,0,14,0,164,0,32,0,50,2,0,0,0,0,0,0,16,51,0,0,0,0,0,0,0,0,0,156,0,0,0,0,14,0,21,87,0,0,0,0,573,0,0,68,0,119,0,0,0,0,6,0,0,190,0,21,0,2,0,0,0,0,0,0
241,06,980900,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,0,0,0,0,0,18,24,0,5,0,0,0,0,0,0,0,0,26,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,6,0,0,0,0,180,0,0,19,0,27,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0
242,06,990100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,06,990200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
