,state,tract,B25091_017E,B25091_010E,B25091_011E,B25091_005E,B25091_003E,B25091_012E,B25091_016E,B25091_014E,B25091_004E,B25091_021E,B25091_020E,B25091_009E,B25091_023E,B25091_008E,B25091_001E,B25091_015E,B25091_018E,B25091_019E,B25091_022E,B25091_007E,B25091_006E,B25091_002E
0,06,010101,0,0,27,15,0,0,0,61,15,0,0,0,0,0,173,20,0,0,35,0,0,57
1,06,010102,0,0,20,13,0,0,0,52,0,0,0,0,0,0,190,0,0,0,13,58,34,125
2,06,010201,0,9,36,55,60,15,0,13,46,0,0,13,0,76,452,15,55,0,39,0,20,330
3,06,010202,17,0,0,40,10,0,15,60,12,0,0,13,0,14,319,50,0,0,60,28,0,117
4,06,010300,0,14,85,45,12,0,0,36,55,0,0,8,0,13,375,17,16,0,13,38,23,293
5,06,010401,37,0,51,5,7,0,43,40,29,0,0,0,0,0,326,37,10,39,6,22,0,114
6,06,010402,24,0,23,18,70,0,0,163,0,0,0,2,0,26,404,8,32,0,38,0,0,139
7,06,010500,0,73,39,56,16,0,9,30,0,18,5,9,0,24,403,27,9,0,9,9,70,296
8,06,010600,0,10,28,14,10,0,9,42,0,0,0,0,0,0,132,10,0,0,9,0,0,62
9,06,010701,0,0,0,0,0,0,0,0,0,0,0,0,27,0,51,24,0,0,0,0,0,0
10,06,010702,0,0,41,0,0,0,0,50,30,0,0,0,0,0,121,0,0,0,0,0,0,71
11,06,010800,27,17,53,24,13,0,17,162,14,24,0,0,0,0,523,45,0,0,76,28,23,172
12,06,010901,19,0,74,0,3,0,9,28,28,0,0,0,22,22,253,28,0,0,0,0,20,147
13,06,010902,0,0,0,15,17,0,0,17,15,0,20,0,0,0,115,0,0,19,0,0,12,59
14,06,011001,0,0,51,32,50,0,10,54,93,0,0,10,0,0,337,37,0,0,0,0,0,236
15,06,011002,31,0,0,31,0,0,13,124,29,0,7,0,37,0,345,11,0,0,13,49,0,109
16,06,011101,0,0,0,21,19,0,0,32,18,0,0,0,0,0,111,21,0,0,0,0,0,58
17,06,011102,20,13,0,19,0,0,0,0,10,0,0,0,0,0,62,0,0,0,0,0,0,42
18,06,011200,8,10,46,22,25,0,22,79,46,0,0,8,0,33,444,24,0,16,80,8,17,215
19,06,011300,0,0,6,17,9,0,0,0,0,0,0,13,0,0,106,12,0,16,9,13,11,69
20,06,011700,0,0,5,11,19,0,8,4,0,0,0,0,0,8,92,7,0,0,0,13,17,73
21,06,011800,7,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,5,0,0,0
22,06,011901,17,26,57,36,24,9,0,29,29,7,0,21,0,19,352,15,0,0,8,30,25,276
23,06,011902,0,0,10,0,0,0,0,0,0,0,0,11,0,33,110,29,0,0,9,18,0,72
24,06,012001,0,0,0,32,17,0,0,0,0,0,0,0,0,18,82,0,0,0,0,15,0,82
25,06,012002,0,0,0,0,0,0,0,10,0,0,0,0,0,0,160,0,0,0,150,0,0,0
26,06,012100,0,0,0,0,50,37,16,20,0,0,0,0,0,0,172,0,0,0,0,49,0,136
27,06,012202,0,21,0,0,0,0,0,58,0,0,26,9,0,17,201,0,0,0,0,70,0,117
28,06,012203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,06,012204,0,19,0,0,0,0,0,6,16,0,0,0,0,0,73,0,0,0,32,0,0,35
30,06,012301,0,0,0,0,0,0,0,35,0,0,0,0,0,0,35,0,0,0,0,0,0,0
31,06,012302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,06,012403,0,0,0,0,0,0,0,21,0,0,0,0,0,0,21,0,0,0,0,0,0,0
33,06,012404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,06,012405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,06,012406,0,0,14,0,0,0,0,82,0,54,0,12,0,0,196,0,0,0,23,11,0,37
36,06,012502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,06,012503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,06,012504,0,0,0,0,0,0,0,25,0,0,0,0,0,23,77,17,0,0,0,12,0,35
39,06,012601,0,0,10,42,10,0,0,32,41,27,0,27,0,0,279,11,0,0,24,13,42,185
40,06,012602,16,14,55,28,39,0,22,40,91,0,9,0,0,0,455,42,0,0,62,15,22,264
41,06,012700,92,11,46,36,154,19,32,54,62,0,62,0,67,0,724,22,21,0,17,0,29,357
42,06,012801,0,10,0,1,176,0,32,86,51,0,0,29,0,9,469,0,0,0,0,32,43,351
43,06,012802,25,16,22,39,0,0,31,0,0,13,0,12,0,0,198,0,0,0,0,25,15,129
44,06,012901,0,22,17,0,53,0,0,42,52,0,0,4,0,31,270,6,0,0,0,9,34,222
45,06,012902,16,27,53,43,22,0,33,12,65,0,0,13,0,0,376,0,0,0,0,17,75,315
46,06,013001,0,45,29,0,12,0,0,51,0,0,0,0,0,0,192,55,0,0,0,0,0,86
47,06,013002,0,17,13,79,0,0,0,43,55,0,0,85,0,0,313,0,0,0,21,0,0,249
48,06,013101,0,12,25,28,14,0,0,60,63,0,0,0,0,110,571,5,0,0,46,143,65,460
49,06,013102,0,0,118,28,17,0,0,91,35,0,8,36,0,18,444,14,8,0,7,24,40,316
50,06,013200,8,193,193,115,93,0,16,107,59,0,69,33,15,0,985,56,0,0,9,19,0,705
51,06,013300,0,20,141,61,141,0,27,133,100,0,0,63,0,43,938,21,31,0,22,40,95,704
52,06,013401,0,0,14,23,18,0,15,33,24,0,0,0,0,18,191,24,0,0,0,0,22,119
53,06,013402,0,29,125,28,74,0,13,46,15,0,0,0,0,11,417,55,0,0,0,0,21,303
54,06,013500,87,8,16,87,31,0,23,18,16,10,25,8,0,9,419,16,0,0,26,10,29,214
55,06,015100,43,38,96,23,5,8,0,75,23,6,0,7,0,38,546,14,25,8,33,41,63,342
56,06,015201,0,0,0,32,0,0,0,0,0,0,0,30,0,15,121,0,0,0,0,44,0,121
