,state,tract,B25091_017E,B25091_010E,B25091_011E,B25091_005E,B25091_003E,B25091_012E,B25091_016E,B25091_014E,B25091_004E,B25091_021E,B25091_020E,B25091_009E,B25091_023E,B25091_008E,B25091_001E,B25091_015E,B25091_018E,B25091_019E,B25091_022E,B25091_007E,B25091_006E,B25091_002E
181,06,060100,0,12,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,12,0,24
182,06,060400,8,0,27,0,19,0,0,24,0,0,0,25,0,6,180,8,0,0,14,23,26,126
183,06,060502,0,10,53,17,0,0,0,35,10,0,0,0,0,12,175,0,0,18,8,12,0,114
184,06,060700,13,184,70,68,9,15,0,64,16,0,17,76,14,164,1075,33,9,0,0,129,194,925
185,06,061000,0,54,173,52,0,0,12,21,86,6,0,79,0,99,720,48,0,0,10,58,22,623
186,06,061100,0,10,0,0,0,0,0,37,0,0,0,0,0,0,56,0,0,0,0,9,0,19
187,06,061200,0,44,249,41,0,0,17,22,0,0,0,15,0,7,475,23,0,0,0,29,28,413
188,06,061400,15,51,196,43,21,0,14,96,62,0,0,67,0,46,862,70,0,0,0,91,90,667
189,06,061500,16,300,482,207,103,0,69,69,89,19,12,170,13,172,2330,23,8,0,35,255,288,2066
190,06,980200,0,0,0,38,0,0,0,0,0,0,0,0,0,10,66,9,0,0,0,0,9,57
191,06,980300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,06,980401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,06,980501,0,23,45,13,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,81
194,06,980600,0,7,23,24,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,33,0,87
195,06,980900,0,0,20,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,19,39
196,06,990100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
