,state,tract,B25091_017E,B25091_010E,B25091_011E,B25091_005E,B25091_003E,B25091_012E,B25091_016E,B25091_014E,B25091_004E,B25091_021E,B25091_020E,B25091_009E,B25091_023E,B25091_008E,B25091_001E,B25091_015E,B25091_018E,B25091_019E,B25091_022E,B25091_007E,B25091_006E,B25091_002E
0,06,017102,0,19,46,65,13,26,0,60,22,0,6,16,0,78,487,8,0,9,0,83,36,404
1,06,017801,0,81,42,13,31,0,0,0,17,27,0,62,12,37,381,16,12,0,0,0,31,314
2,06,017601,0,83,26,87,0,0,11,37,0,0,0,136,0,90,556,19,0,0,28,0,39,461
3,06,020100,17,38,37,46,40,0,0,12,16,0,0,34,0,98,472,0,0,0,36,55,43,407
4,06,020600,9,70,169,183,95,0,0,88,92,0,13,67,17,128,1156,12,0,0,22,98,93,995
5,06,020900,0,21,30,20,23,8,12,32,25,0,0,0,0,50,237,0,0,0,0,0,16,193
6,06,021800,9,25,87,97,16,6,39,230,112,11,10,68,11,52,1033,35,10,0,20,77,118,658
7,06,022600,0,94,41,62,15,0,11,0,57,0,4,87,0,16,500,0,0,0,0,77,36,485
8,06,023102,0,51,74,51,23,0,0,80,19,0,0,14,0,24,377,9,0,0,0,27,5,288
9,06,025100,0,130,192,108,25,0,7,133,21,0,4,21,18,97,922,41,0,3,15,56,51,701
10,06,017000,17,35,162,98,0,0,15,53,47,0,0,61,19,128,1185,70,14,16,85,147,218,896
11,06,018000,0,42,134,49,20,0,0,0,11,0,0,39,0,17,554,8,0,5,0,77,152,541
12,06,021500,18,59,109,155,15,0,61,110,125,0,0,50,0,124,1098,35,0,0,0,105,132,874
13,06,022803,0,43,83,30,0,0,21,0,49,0,9,39,0,37,378,5,0,0,0,21,41,343
14,06,026004,10,69,121,77,0,0,6,48,32,10,8,23,0,24,681,20,39,0,8,107,79,532
15,06,030101,0,33,68,52,17,0,0,101,60,33,0,0,0,7,522,17,0,7,18,82,27,346
16,06,033000,0,92,123,117,30,0,83,328,154,0,0,141,0,79,1584,110,0,10,13,88,216,1040
17,06,025403,9,92,121,32,17,0,0,130,11,7,12,41,0,53,713,50,9,0,12,86,31,484
18,06,026401,49,51,148,39,0,0,0,151,20,0,7,8,0,31,687,69,0,9,0,43,62,402
19,06,030202,0,0,88,63,0,0,15,57,0,0,0,34,13,23,348,0,0,10,0,45,0,253
20,06,035300,31,45,247,90,52,0,38,558,89,0,0,129,0,97,1617,110,28,15,0,25,63,837
21,06,047600,20,41,54,115,22,0,40,82,16,13,16,16,0,19,741,119,0,0,50,45,73,401
22,06,010600,0,0,13,0,0,0,0,31,0,7,0,0,0,0,135,0,0,9,26,0,49,62
23,06,061000,0,75,148,94,0,0,9,41,77,13,0,43,11,161,949,54,0,0,19,120,84,802
24,06,020300,0,37,118,49,0,0,0,70,37,0,0,25,0,0,481,23,0,0,21,85,16,367
25,06,012000,0,0,0,0,0,0,0,0,0,0,0,0,14,0,47,0,0,0,12,12,9,21
26,06,012700,0,32,71,17,18,0,41,52,0,0,0,35,16,14,596,54,0,0,73,134,39,360
27,06,013200,14,21,310,42,33,0,12,205,64,0,0,88,0,36,1069,66,32,16,52,17,61,672
28,06,013300,0,30,127,98,20,0,32,156,52,8,0,34,12,31,893,108,20,11,16,66,72,530
29,06,013500,5,25,56,24,17,0,17,20,44,0,0,18,0,8,310,9,31,10,0,19,7,218
30,06,015300,0,0,83,46,6,0,0,10,23,0,0,27,0,10,266,20,0,0,0,15,26,236
31,06,016700,0,50,164,107,61,0,0,31,68,0,0,26,0,56,642,6,0,0,0,27,46,605
32,06,020200,0,59,107,33,0,0,0,61,11,0,0,10,0,34,439,49,0,0,0,45,30,329
33,06,020500,0,118,96,69,22,0,0,20,108,0,9,38,0,28,569,0,0,0,0,0,61,540
34,06,021000,20,0,73,107,50,0,0,6,52,32,0,104,0,59,659,0,0,0,0,43,113,601
35,06,023001,30,58,195,43,0,0,36,189,18,22,0,49,0,101,926,123,9,0,18,7,28,499
36,06,035202,45,60,146,39,9,0,17,93,31,0,6,0,0,37,636,19,9,0,0,70,55,447
37,06,042700,11,52,74,25,12,0,14,129,28,0,29,42,14,8,664,29,13,0,23,108,53,402
38,06,060100,0,0,0,11,0,0,0,23,0,0,0,0,0,0,34,0,0,0,0,0,0,11
39,06,031400,46,99,171,108,8,0,20,107,109,8,22,50,0,74,1064,52,0,0,0,89,101,809
40,06,040100,9,16,52,10,52,0,0,72,19,0,0,0,0,0,352,56,0,16,0,34,16,199
41,06,023200,0,10,237,35,25,0,10,73,42,0,0,86,0,19,688,72,0,0,27,42,10,506
42,06,030102,16,124,116,34,28,0,23,187,79,0,0,61,0,89,1043,52,0,12,23,123,76,730
43,06,032700,100,42,258,154,26,0,25,159,39,0,27,77,0,107,1561,140,13,34,49,107,204,1014
44,06,035201,7,62,163,34,15,0,61,214,11,5,24,41,0,98,1049,62,16,34,44,61,97,582
45,06,035400,15,18,105,77,53,0,32,326,94,19,0,61,0,79,1359,153,16,13,18,79,201,767
46,06,015900,20,6,104,37,0,0,25,76,18,0,0,70,0,0,503,0,11,0,59,57,20,312
47,06,016000,0,57,156,14,8,0,9,21,10,0,0,9,11,26,469,39,9,8,40,20,32,332
48,06,020700,30,11,155,58,100,0,0,132,100,0,0,78,0,47,810,0,37,0,8,40,14,603
49,06,020800,0,80,49,154,0,0,21,14,28,0,0,0,0,0,500,0,0,0,0,80,74,465
50,06,021100,9,49,135,159,25,0,30,124,95,0,0,57,0,41,918,34,0,0,0,63,97,721
51,06,021200,25,71,168,103,23,0,0,99,72,0,0,20,0,41,773,14,15,0,16,32,74,604
52,06,021300,19,34,45,99,22,0,10,60,89,0,10,76,0,37,625,7,0,0,0,34,83,519
53,06,010700,10,30,48,0,0,0,36,61,0,33,0,0,0,0,233,0,0,15,0,0,0,78
54,06,016200,0,20,49,16,0,0,0,17,11,0,0,12,0,13,171,7,0,0,0,10,16,147
55,06,016900,0,8,72,81,0,0,11,17,53,0,0,37,0,33,435,0,0,0,0,77,46,407
56,06,025200,15,82,157,129,112,0,0,59,178,0,16,91,0,69,1228,75,18,0,0,69,158,1045
57,06,010100,0,0,28,51,24,0,37,35,14,0,0,39,0,27,290,0,0,0,0,0,35,218
58,06,011200,21,16,65,5,54,8,0,91,34,17,0,7,10,19,471,30,0,15,32,34,13,255
59,06,013400,0,36,60,24,76,0,12,84,31,13,0,13,0,0,504,14,13,14,0,59,55,354
60,06,015100,33,20,23,53,0,0,41,44,44,10,0,10,0,23,458,18,0,10,39,53,37,263
61,06,010500,23,61,56,68,8,0,33,0,0,0,0,0,0,40,368,8,18,0,0,30,23,286
