,year,label,Category,Attribute,010800,011100,011101,011102,011200,011900,011901,011902,012000,012001,012002,012100
15,2000,DEC_SF3,Employment,"6-17, Living with Two Parents",320.0,227.0,INACTIVE,INACTIVE,111.0,61.0,INACTIVE,INACTIVE,86.0,INACTIVE,INACTIVE,72.0
16,2000,DEC_SF3,Employment,"6-17, Living with Two Parents, One Parent in Labor Force",0.3,0.3259911894273127,INACTIVE,INACTIVE,0.2252252252252252,0.0,INACTIVE,INACTIVE,0.5930232558139535,INACTIVE,INACTIVE,0.2361111111111111
17,2000,DEC_SF3,Employment,"6-17, Living with Two Parents, Parents Not in Labor Force",0.03125,0.079295154185022,INACTIVE,INACTIVE,0.0,0.3114754098360656,INACTIVE,INACTIVE,0.0,INACTIVE,INACTIVE,0.6944444444444444
18,2000,DEC_SF3,Employment,"6-17, Living with Two Parents, Parents in Labor Force",0.66875,0.5947136563876652,INACTIVE,INACTIVE,0.7747747747747747,0.6885245901639344,INACTIVE,INACTIVE,0.4069767441860465,INACTIVE,INACTIVE,0.0694444444444444
19,2000,DEC_SF3,Employment,Employed Residents,2947.0,3449.0,INACTIVE,INACTIVE,2354.0,3413.0,INACTIVE,INACTIVE,2308.0,INACTIVE,INACTIVE,2069.0
20,2000,DEC_SF3,Employment,Managerial Professional,0.4703087885985748,0.4575239199768048,INACTIVE,INACTIVE,0.5832625318606627,0.5484910635804278,INACTIVE,INACTIVE,0.3726169844020797,INACTIVE,INACTIVE,0.431126147897535
21,2000,DEC_SF3,Employment,Natural Resources,0.0369867662029182,0.0223253116845462,INACTIVE,INACTIVE,0.0259133389974511,0.0202168180486375,INACTIVE,INACTIVE,0.046793760831889,INACTIVE,INACTIVE,0.0091831802803286
22,2000,DEC_SF3,Employment,Production Transport Materials,0.0912792670512385,0.0849521600463902,INACTIVE,INACTIVE,0.0450297366185216,0.0518605332552007,INACTIVE,INACTIVE,0.0870883882149046,INACTIVE,INACTIVE,0.0352827452875785
23,2000,DEC_SF3,Employment,Sales and Office,0.2626399728537495,0.256886053928675,INACTIVE,INACTIVE,0.2752761257434155,0.2613536478171696,INACTIVE,INACTIVE,0.2616984402079723,INACTIVE,INACTIVE,0.3344610923151281
24,2000,DEC_SF3,Employment,Services,0.1360705802511028,0.1748332850101478,INACTIVE,INACTIVE,0.070518266779949,0.1180779372985643,INACTIVE,INACTIVE,0.225736568457539,INACTIVE,INACTIVE,0.1899468342194296
25,2000,DEC_SF3,Employment,"Under 6 Years, Living with One Parent",22.0,21.0,INACTIVE,INACTIVE,9.0,28.0,INACTIVE,INACTIVE,44.0,INACTIVE,INACTIVE,43.0
26,2000,DEC_SF3,Employment,"Under 6 Years, Living with One Parent, Parent Not in Labor Force",1.0,0.1428571428571428,INACTIVE,INACTIVE,0.0,0.0,INACTIVE,INACTIVE,0.2727272727272727,INACTIVE,INACTIVE,0.4186046511627907
27,2000,DEC_SF3,Employment,"Under 6 Years, Living with One Parent, Parent in Labor Force",0.0,0.8571428571428571,INACTIVE,INACTIVE,1.0,1.0,INACTIVE,INACTIVE,0.7272727272727273,INACTIVE,INACTIVE,0.5813953488372093
28,2000,DEC_SF3,Employment,"Under 6 Years, Living with Two Parents",136.0,143.0,INACTIVE,INACTIVE,116.0,85.0,INACTIVE,INACTIVE,45.0,INACTIVE,INACTIVE,21.0
29,2000,DEC_SF3,Employment,"Under 6 Years, Living with Two Parents, One Parent in Labor Force",0.6470588235294118,0.4405594405594406,INACTIVE,INACTIVE,0.3879310344827586,0.2352941176470588,INACTIVE,INACTIVE,0.2,INACTIVE,INACTIVE,0.4761904761904761
30,2000,DEC_SF3,Employment,"Under 6 Years, Living with Two Parents, Parents Not in Labor Force",0.0735294117647058,0.0,INACTIVE,INACTIVE,0.146551724137931,0.2470588235294117,INACTIVE,INACTIVE,0.4444444444444444,INACTIVE,INACTIVE,0.5238095238095238
31,2000,DEC_SF3,Employment,"Under 6 Years, Living with Two Parents, Parents in Labor Force",0.2794117647058823,0.5594405594405595,INACTIVE,INACTIVE,0.4655172413793103,0.5176470588235295,INACTIVE,INACTIVE,0.3555555555555555,INACTIVE,INACTIVE,0.0
32,2000,DEC_SF3,Employment,Unemployment Rate,0.0283547642598087,0.0505633415773564,INACTIVE,INACTIVE,0.021594684385382,0.0415613591687728,INACTIVE,INACTIVE,0.0285354595048258,INACTIVE,INACTIVE,0.0548195523069894
33,2000,DEC_SF3,Employment,Worked in place of residence,0.8026905829596412,0.830944720678561,INACTIVE,INACTIVE,0.8183817062445031,0.8347800059862317,INACTIVE,INACTIVE,0.8562744246634825,INACTIVE,INACTIVE,0.903444929645803
34,2000,DEC_SF3,Employment,Worked outside place of residence,0.1973094170403587,0.169055279321439,INACTIVE,INACTIVE,0.1816182937554969,0.1652199940137683,INACTIVE,INACTIVE,0.1437255753365175,INACTIVE,INACTIVE,0.096555070354197
35,2000,DEC_SF3,Households,Average Family Household Size,3.1235408560311284,2.8975501113585747,INACTIVE,INACTIVE,2.67828418230563,2.5772113943028487,INACTIVE,INACTIVE,2.630648330058939,INACTIVE,INACTIVE,2.977839335180056
36,2000,DEC_SF3,Households,Average Household Size,2.0744035584310554,1.7891689373297002,INACTIVE,INACTIVE,1.765998089780325,1.4893926184248765,INACTIVE,INACTIVE,1.4708141321044548,INACTIVE,INACTIVE,1.49263431542461
37,2000,DEC_SF3,Households,Family Households,0.4156894460169834,0.305858310626703,INACTIVE,INACTIVE,0.3562559694364852,0.1938390002906131,INACTIVE,INACTIVE,0.195468509984639,INACTIVE,INACTIVE,0.1564124783362218
38,2000,DEC_SF3,Households,Households,2473.0,2936.0,INACTIVE,INACTIVE,2094.0,3441.0,INACTIVE,INACTIVE,2604.0,INACTIVE,INACTIVE,2308.0
39,2000,DEC_SF3,Households,"Households with 60 years and older, % of Total (DEC, 65 years and older)",0.3740396279822078,0.263283378746594,INACTIVE,INACTIVE,0.3634192932187201,0.2054635280441732,INACTIVE,INACTIVE,0.1720430107526881,INACTIVE,INACTIVE,0.177209705372617
40,2000,DEC_SF3,Households,"Households with Children, % of Total",0.1180752122927618,0.0950272479564032,INACTIVE,INACTIVE,0.0807067812798471,0.038070328392909,INACTIVE,INACTIVE,0.0556835637480798,INACTIVE,INACTIVE,0.0433275563258232
41,2000,DEC_SF3,Households,Living in Group Quarters,0.0,306.0,INACTIVE,INACTIVE,2.0,118.0,INACTIVE,INACTIVE,82.0,INACTIVE,INACTIVE,77.0
42,2000,DEC_SF3,Households,Non-Family Households,0.5843105539830166,0.694141689373297,INACTIVE,INACTIVE,0.6437440305635148,0.8061609997093868,INACTIVE,INACTIVE,0.804531490015361,INACTIVE,INACTIVE,0.8435875216637782
43,2000,DEC_SF3,Households,"Single Person Households, % of Total",0.443186413263243,0.5333787465940054,INACTIVE,INACTIVE,0.5033428844317096,0.6608544027898866,INACTIVE,INACTIVE,0.6662826420890937,INACTIVE,INACTIVE,0.6633448873483535
44,2000,DEC_SF3,Housing,Built 1939 or earlier,0.5955801104972376,0.6578860717813632,INACTIVE,INACTIVE,0.5565591397849462,0.6735873850197109,INACTIVE,INACTIVE,0.7785817655571635,INACTIVE,INACTIVE,0.817208564631245
45,2000,DEC_SF3,Housing,Built 1940 to 1949,0.0703499079189687,0.0780375370431346,INACTIVE,INACTIVE,0.072258064516129,0.0617608409986859,INACTIVE,INACTIVE,0.038712011577424,INACTIVE,INACTIVE,0.0800951625693893
46,2000,DEC_SF3,Housing,Built 1950 to 1959,0.1031307550644567,0.060586104708594,INACTIVE,INACTIVE,0.0851612903225806,0.0470433639947437,INACTIVE,INACTIVE,0.0412445730824891,INACTIVE,INACTIVE,0.0713719270420301
47,2000,DEC_SF3,Housing,Built 1960 to 1969,0.1233885819521178,0.054988475469213,INACTIVE,INACTIVE,0.1827956989247312,0.0856767411300919,INACTIVE,INACTIVE,0.0470332850940665,INACTIVE,INACTIVE,0.0206185567010309
48,2000,DEC_SF3,Housing,Built 1970 to 1979,0.0456721915285451,0.0698057293381626,INACTIVE,INACTIVE,0.0602150537634408,0.0578186596583442,INACTIVE,INACTIVE,0.0231548480463096,INACTIVE,INACTIVE,0.007533703409992
49,2000,DEC_SF3,Housing,Built 1980 to 1989,0.0169429097605893,0.0204148831083305,INACTIVE,INACTIVE,0.0326881720430107,0.0696452036793692,INACTIVE,INACTIVE,0.0568017366136034,INACTIVE,INACTIVE,0.0
50,2000,DEC_SF3,Housing,Built 1990 to 1999 (to Mar 2000 for DEC),0.0449355432780847,0.0582811985512018,INACTIVE,INACTIVE,0.0103225806451612,0.0044678055190538,INACTIVE,INACTIVE,0.0144717800289435,INACTIVE,INACTIVE,0.0031720856463124
51,2000,DEC_SF3,Housing,Median Year Moved In Owner,1978.39552238806,1990.65,INACTIVE,INACTIVE,1987.7956989247311,1995.817391304348,INACTIVE,INACTIVE,2001.0,INACTIVE,INACTIVE,1992.430555555556
52,2000,DEC_SF3,Housing,Median Year Moved In Renter,1995.166405023548,1995.9577167019029,INACTIVE,INACTIVE,1996.018450184502,1996.5764705882352,INACTIVE,INACTIVE,1996.81626187962,INACTIVE,INACTIVE,1996.710144927536
53,2000,DEC_SF3,Housing,Median Year Structure Built,1939.0,1939.0,INACTIVE,INACTIVE,1939.0,1939.0,INACTIVE,INACTIVE,1939.0,INACTIVE,INACTIVE,1939.0
54,2000,DEC_SF3,Housing,"Overcrowding, Renter Occupied Housing",0.1837809373354397,0.1533697632058288,INACTIVE,INACTIVE,0.110211706102117,0.1033434650455927,INACTIVE,INACTIVE,0.1409952606635071,INACTIVE,INACTIVE,0.1311258278145695
55,2000,DEC_SF3,Housing,Owner Occupied,0.2330371567043618,0.0631399317406143,INACTIVE,INACTIVE,0.2312111057922451,0.1404934687953556,INACTIVE,INACTIVE,0.0070588235294117,INACTIVE,INACTIVE,0.0369897959183673
56,2000,DEC_SF3,Housing,"Owner Occupied by Race, American Indian and Alaska Native Alone",0.0,,INACTIVE,INACTIVE,,0.0,INACTIVE,INACTIVE,0.0,INACTIVE,INACTIVE,0.0
57,2000,DEC_SF3,Housing,"Owner Occupied by Race, Asian Alone",0.2738317757009346,0.1218678815489749,INACTIVE,INACTIVE,0.2545454545454545,0.21557719054242,INACTIVE,INACTIVE,0.0,INACTIVE,INACTIVE,0.0186721991701244
58,2000,DEC_SF3,Housing,"Owner Occupied by Race, Black or African American Alone",0.0,0.0,INACTIVE,INACTIVE,0.0,0.0,INACTIVE,INACTIVE,0.0,INACTIVE,INACTIVE,0.0
59,2000,DEC_SF3,Housing,"Owner Occupied by Race, Hispanic or Latino",0.0,0.0,INACTIVE,INACTIVE,0.0,0.036036036036036,INACTIVE,INACTIVE,0.0,INACTIVE,INACTIVE,0.0
60,2000,DEC_SF3,Housing,"Owner Occupied by Race, Native Hawaiian and Other Pacific Islander Alone",1.0,,INACTIVE,INACTIVE,0.0,,INACTIVE,INACTIVE,0.0,INACTIVE,INACTIVE,0.0
61,2000,DEC_SF3,Housing,"Owner Occupied by Race, Some Other Race Alone",0.0,0.0,INACTIVE,INACTIVE,0.0,0.0,INACTIVE,INACTIVE,0.0,INACTIVE,INACTIVE,0.0
62,2000,DEC_SF3,Housing,"Owner Occupied by Race, Two or More Races",0.0,0.0,INACTIVE,INACTIVE,0.0,0.0761904761904762,INACTIVE,INACTIVE,0.0,INACTIVE,INACTIVE,0.0
63,2000,DEC_SF3,Housing,"Owner Occupied by Race, White Alone",0.2096403978576893,0.0429042904290429,INACTIVE,INACTIVE,0.2360633172746042,0.130700325732899,INACTIVE,INACTIVE,0.011076923076923,INACTIVE,INACTIVE,0.048297213622291
64,2000,DEC_SF3,Housing,"Owner Occupied by Race, White Alone, Not Hispanic or Latino",0.2125678820791311,0.0446991404011461,INACTIVE,INACTIVE,0.2400279916025192,0.1346236559139784,INACTIVE,INACTIVE,0.0118032786885245,INACTIVE,INACTIVE,0.0513157894736842
65,2000,DEC_SF3,Housing,Post 1979 All and Pre 1979 Single Family Renter Occupied by Year Structure Built by Units in Structure,244.0,199.0,INACTIVE,INACTIVE,51.0,118.0,INACTIVE,INACTIVE,155.0,INACTIVE,INACTIVE,15.0
