,year,label,Category,Attribute
87,2000,DEC_SF3,Housing Prices,Contract Rent 250 to 299
88,2000,DEC_SF3,Housing Prices,Contract Rent 300 to 349
89,2000,DEC_SF3,Housing Prices,Contract Rent 350 to 399
90,2000,DEC_SF3,Housing Prices,Contract Rent 400 to 449
91,2000,DEC_SF3,Housing Prices,Contract Rent 500 to 549
92,2000,DEC_SF3,Housing Prices,Contract Rent 550 to 599
93,2000,DEC_SF3,Housing Prices,Contract Rent 600 to 649
94,2000,DEC_SF3,Housing Prices,Contract Rent 650 to 699
95,2000,DEC_SF3,Housing Prices,Contract Rent 700 to 749
96,2000,DEC_SF3,Housing Prices,Contract Rent 750 to 749
97,2000,DEC_SF3,Housing Prices,Contract Rent 750 to 799
98,2000,DEC_SF3,Housing Prices,Contract Rent 800 to 899
99,2000,DEC_SF3,Housing Prices,Contract Rent 900 to 999
100,2000,DEC_SF3,Housing Prices,Contract Rent Less than 100
101,2000,DEC_SF3,Housing Prices,Contract Rent Total
102,2000,DEC_SF3,Housing Prices,Contract Rent Total No cash Rent (ACS2015-)
103,2000,DEC_SF3,Housing Prices,"Contract Rent Total No cash Rent (No cash rent, DEC2000 and ACS2009-2014)"
104,2000,DEC_SF3,Housing Prices,Contract Rent Total With cash Rent
105,2000,DEC_SF3,Housing Prices,Extremely Rent Burdened
106,2000,DEC_SF3,Housing Prices,Home Value 10000 to 14999 
107,2000,DEC_SF3,Housing Prices,Home Value 100000 to 124999
108,2000,DEC_SF3,Housing Prices,"Home Value 1000000 to 1499999 (1000000 or more, DEC2000 and ACS2009-2014)"
109,2000,DEC_SF3,Housing Prices,Home Value 125000 to 149999
110,2000,DEC_SF3,Housing Prices,Home Value 15000 to 19999 
111,2000,DEC_SF3,Housing Prices,Home Value 150000 to 174999
112,2000,DEC_SF3,Housing Prices,Home Value 175000 to 199999
113,2000,DEC_SF3,Housing Prices,Home Value 20000 to 24999 
114,2000,DEC_SF3,Housing Prices,Home Value 200000 to 249999
115,2000,DEC_SF3,Housing Prices,Home Value 25000 to 29999 
116,2000,DEC_SF3,Housing Prices,Home Value 250000 to 299999
117,2000,DEC_SF3,Housing Prices,Home Value 30000 to 34999 
118,2000,DEC_SF3,Housing Prices,Home Value 300000 to 399999
119,2000,DEC_SF3,Housing Prices,Home Value 35000 to 39999 
120,2000,DEC_SF3,Housing Prices,Home Value 40000 to 49999 
121,2000,DEC_SF3,Housing Prices,Home Value 400000 to 499999
122,2000,DEC_SF3,Housing Prices,Home Value 50000 to 59999 
123,2000,DEC_SF3,Housing Prices,Home Value 500000 to 749999
124,2000,DEC_SF3,Housing Prices,Home Value 60000 to 69999 
125,2000,DEC_SF3,Housing Prices,Home Value 70000 to 79999 
126,2000,DEC_SF3,Housing Prices,Home Value 750000 to 999999
127,2000,DEC_SF3,Housing Prices,Home Value 80000 to 89999 
128,2000,DEC_SF3,Housing Prices,Home Value 90000 to 99999 
129,2000,DEC_SF3,Housing Prices,Home Value Less than 10000
130,2000,DEC_SF3,Housing Prices,Home Value Total
131,2000,DEC_SF3,Housing Prices,Housing Units with a Mortgage
132,2000,DEC_SF3,Housing Prices,Housing Units with a Mortgage 0 to 30%
133,2000,DEC_SF3,Housing Prices,Housing Units with a Mortgage 30-50%
134,2000,DEC_SF3,Housing Prices,Housing Units with a Mortgage 50%+
135,2000,DEC_SF3,Housing Prices,Housing Units with a Mortgage Not Computed
136,2000,DEC_SF3,Housing Prices,Housing Units without a Mortgage
137,2000,DEC_SF3,Housing Prices,Housing Units without a Mortgage 0 to 30%
138,2000,DEC_SF3,Housing Prices,Housing Units without a Mortgage 30-50%
139,2000,DEC_SF3,Housing Prices,Housing Units without a Mortgage 50%+
140,2000,DEC_SF3,Housing Prices,Housing Units without a Mortgage Not Computed
141,2000,DEC_SF3,Housing Prices,Median Contract Rent
142,2000,DEC_SF3,Housing Prices,Median Home Value
143,2000,DEC_SF3,Housing Prices,Median Rent
144,2000,DEC_SF3,Housing Prices,Median Rent as % of Household Income
145,2000,DEC_SF3,Housing Prices,Rent 100 to 149
146,2000,DEC_SF3,Housing Prices,Rent 1000 to 1249
147,2000,DEC_SF3,Housing Prices,Rent 1250 to 1499
148,2000,DEC_SF3,Housing Prices,Rent 150 to 199
149,2000,DEC_SF3,Housing Prices,Rent 1500 to 1999
150,2000,DEC_SF3,Housing Prices,Rent 200 to 249
151,2000,DEC_SF3,Housing Prices,"Rent 2000 to 2499  (Rent 2000 or more, DEC2000 and ACS2009-2014)"
152,2000,DEC_SF3,Housing Prices,Rent 250 to 299
153,2000,DEC_SF3,Housing Prices,Rent 300 to 349
154,2000,DEC_SF3,Housing Prices,Rent 350 to 399
155,2000,DEC_SF3,Housing Prices,Rent 400 to 449
156,2000,DEC_SF3,Housing Prices,Rent 450 to 499
157,2000,DEC_SF3,Housing Prices,Rent 500 to 549
158,2000,DEC_SF3,Housing Prices,Rent 550 to 599
159,2000,DEC_SF3,Housing Prices,Rent 600 to 649
160,2000,DEC_SF3,Housing Prices,Rent 650 to 699
161,2000,DEC_SF3,Housing Prices,Rent 700 to 749
162,2000,DEC_SF3,Housing Prices,Rent 750 to 799
163,2000,DEC_SF3,Housing Prices,Rent 800 to 899
164,2000,DEC_SF3,Housing Prices,Rent 900 to 999
165,2000,DEC_SF3,Housing Prices,Rent Burdened
166,2000,DEC_SF3,Housing Prices,Rent Less than 100
167,2000,DEC_SF3,Housing Prices,Rent Total
168,2000,DEC_SF3,Housing Prices,"Rent Total No cash rent  (No cash rent, DEC2000 and ACS2009-2014)"
169,2000,DEC_SF3,Housing Prices,Rent Total No cash rent (ACS2015-)
170,2000,DEC_SF3,Housing Prices,Rent Total With cash rent
171,2000,DEC_SF3,Housing Type,10-19 Units
172,2000,DEC_SF3,Housing Type,2-4 Units
173,2000,DEC_SF3,Housing Type,20 Units or More
174,2000,DEC_SF3,Housing Type,5-9 Units
175,2000,DEC_SF3,Housing Type,Other Type
176,2000,DEC_SF3,Housing Type,Single Family Housing
177,2000,DEC_SF3,Income,Household Income 10000 to 14999
178,2000,DEC_SF3,Income,Household Income 100000 to 124999
179,2000,DEC_SF3,Income,Household Income 125000 to 149999
180,2000,DEC_SF3,Income,Household Income 15000 to 19999
181,2000,DEC_SF3,Income,Household Income 150000 to 199999
182,2000,DEC_SF3,Income,Household Income 20000 to 24999
183,2000,DEC_SF3,Income,Household Income 25000 to 29999
184,2000,DEC_SF3,Income,Household Income 30000 to 34999
185,2000,DEC_SF3,Income,Household Income 35000 to 39999
186,2000,DEC_SF3,Income,Household Income 40000 to 44999
187,2000,DEC_SF3,Income,Household Income 45000 to 49999
188,2000,DEC_SF3,Income,Household Income 50000 to 59999
