,Category,Attribute,2000_Seacliff,2010_Seacliff,2011_Seacliff,2012_Seacliff,2013_Seacliff,2014_Seacliff,2015_Seacliff,2016_Seacliff,2017_Seacliff,2018_Seacliff,2019_Seacliff,2020_Seacliff,2021_Seacliff,2022_Seacliff,2023_Seacliff,2024_Seacliff
227,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,201.0,121.0,124.0,158.0,171.0,194.0,172.0,170.0,169.0,176.0,183.0,884.0,200.0,136.0,119.0,110
218,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,201.0,121.0,124.0,158.0,171.0,194.0,172.0,170.0,169.0,176.0,183.0,884.0,200.0,136.0,119.0,110
221,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,201.0,121.0,124.0,158.0,171.0,194.0,172.0,170.0,169.0,176.0,183.0,884.0,200.0,136.0,119.0,110
224,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,201.0,121.0,124.0,158.0,171.0,194.0,172.0,170.0,169.0,176.0,183.0,884.0,200.0,136.0,119.0,110
225,Affordability,100 AMI Annual Income,145192.3076923077,156048.38709677418,185333.3333333333,149695.1219512195,201635.0864978903,155555.55555555556,143506.4935064935,180357.14285714284,166758.24175824175,170052.08333333334,173093.22033898305,157655.82655826557,203791.13524590165,208972.3214953271,210259.0310344828,210174.82558139536
226,Affordability,100 AMI Monthly Affordable Rent,12099.358974358975,13004.032258064515,15444.444444444443,12474.59349593496,16802.92387482419,12962.962962962964,11958.87445887446,15029.761904761903,13896.520146520146,14171.006944444445,14424.435028248588,13137.985546522132,16982.59460382514,17414.360124610594,17521.585919540234,17514.568798449614
216,Affordability,30 AMI Annual Income,43557.692307692305,46814.51612903225,55599.99999999999,44908.53658536585,60490.52594936709,46666.666666666664,43051.94805194805,54107.14285714285,50027.47252747253,51015.625,51927.96610169492,47296.74796747967,61137.34057377049,62691.69644859813,63077.709310344835,63052.4476744186
217,Affordability,30 AMI Monthly Affordable Rent,3629.807692307692,3901.209677419354,4633.333333333333,3742.3780487804875,5040.877162447257,3888.8888888888887,3587.6623376623374,4508.928571428571,4168.956043956044,4251.302083333333,4327.330508474576,3941.395663956639,5094.778381147541,5224.308037383177,5256.47577586207,5254.370639534884
219,Affordability,50 AMI Annual Income,72596.15384615384,78024.19354838709,92666.66666666666,74847.56097560975,100817.54324894515,77777.77777777778,71753.24675324676,90178.57142857142,83379.12087912088,85026.04166666667,86546.61016949153,78827.91327913279,101895.56762295082,104486.16074766355,105129.5155172414,105087.41279069768
220,Affordability,50 AMI Monthly Affordable Rent,6049.679487179487,6502.016129032258,7722.222222222222,6237.29674796748,8401.461937412096,6481.481481481482,5979.43722943723,7514.880952380951,6948.260073260073,7085.503472222223,7212.217514124294,6568.992773261066,8491.29730191257,8707.180062305297,8760.792959770117,8757.284399224807
222,Affordability,80 AMI Annual Income,116153.84615384616,124838.70967741935,148266.66666666666,119756.09756097561,161308.06919831224,124444.44444444445,114805.19480519481,144285.7142857143,133406.5934065934,136041.6666666667,138474.57627118644,126124.66124661246,163032.90819672134,167177.8571962617,168207.22482758624,168139.8604651163
223,Affordability,80 AMI Monthly Affordable Rent,9679.48717948718,10403.225806451612,12355.555555555555,9979.674796747968,13442.339099859353,10370.37037037037,9567.099567099567,12023.809523809525,11117.216117216116,11336.805555555557,11539.54802259887,10510.388437217705,13586.075683060111,13931.488099688475,14017.268735632186,14011.655038759693
0,Age,0-2 Years,0.54,0.5126050420168067,0.4014598540145985,0.3756906077348066,0.3423076923076923,0.3717948717948718,0.2891566265060241,0.3421052631578947,0.4310344827586206,0.5522388059701493,0.4589371980676328,0.5026455026455027,0.5227272727272727,0.5209580838323353,0.4550898203592814,0.7007299270072993
1,Age,0-4 Years,0.0741747572815534,0.0469995803608896,0.0546875,0.0666969147005444,0.0837738918259455,0.0801866779804836,0.0718586912886391,0.0724755700325733,0.0548658390068081,0.0654618473895582,0.060630235341045,0.0074603668013677,0.0543782487005197,0.0583475298126064,0.0541546093427035,0.0497774180493727
2,Age,18-34 Years,0.1580582524271844,0.0973562736046999,0.0828993055555555,0.1011796733212341,0.0683204554697031,0.0950360627916843,0.0943396226415094,0.0912052117263843,0.0812975570684821,0.0995983935742971,0.0937375349022736,0.418713086726764,0.1151539384246301,0.141396933560477,0.1244315832988838,0.1339538648320518
3,Age,3-5 Years,0.46,0.4873949579831932,0.5985401459854015,0.6243093922651933,0.6576923076923077,0.6282051282051282,0.7108433734939759,0.6578947368421053,0.5689655172413793,0.4477611940298507,0.5410628019323671,0.4973544973544973,0.4772727272727273,0.4790419161676646,0.5449101796407185,0.2992700729927007
