,Category,Attribute,Percent Of,2000_Golden Gate Park,2010_Golden Gate Park,2011_Golden Gate Park,2012_Golden Gate Park,2013_Golden Gate Park,2014_Golden Gate Park,2015_Golden Gate Park,2016_Golden Gate Park,2017_Golden Gate Park,2018_Golden Gate Park,2019_Golden Gate Park,2020_Golden Gate Park,2021_Golden Gate Park,2022_Golden Gate Park,2023_Golden Gate Park,2024_Golden Gate Park
26,Educational Attainment,"High School or Less by Race, White Alone, Not Hispanic or Latino",None,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
545,Educational Attainment,Some College/Associate Degree,Total Population 25+,0.4029850746268656,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
27,Educational Attainment,"Some College/Associate Degree by Race, American Indian and Alaska Native Alone",None,1.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
28,Educational Attainment,"Some College/Associate Degree by Race, Asian Alone",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
29,Educational Attainment,"Some College/Associate Degree by Race, Black or African American Alone",None,1.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
30,Educational Attainment,"Some College/Associate Degree by Race, Hispanic or Latino",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
31,Educational Attainment,"Some College/Associate Degree by Race, Native Hawaiian and Other Pacific Islander Alone",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
32,Educational Attainment,"Some College/Associate Degree by Race, Some Other Race Alone",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
33,Educational Attainment,"Some College/Associate Degree by Race, Two or More Races",None,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
34,Educational Attainment,"Some College/Associate Degree by Race, White Alone",None,0.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
35,Educational Attainment,"Some College/Associate Degree by Race, White Alone, Not Hispanic or Latino",None,0.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
36,Employment,"6-17, Living with One Parent",None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Employment,"6-17, Living with One Parent, Parent Not in Labor Force","Total 6-17, Living with One Parent",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
38,Employment,"6-17, Living with One Parent, Parent in Labor Force","Total 6-17, Living with One Parent",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
39,Employment,"6-17, Living with Two Parents",None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Employment,"6-17, Living with Two Parents, One Parent in Labor Force","Total 6-17, Living with Two Parents",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
41,Employment,"6-17, Living with Two Parents, Parents Not in Labor Force","Total 6-17, Living with Two Parents",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
42,Employment,"6-17, Living with Two Parents, Parents in Labor Force","Total 6-17, Living with Two Parents",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
546,Employment,Employed Residents,None,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
547,Employment,Managerial Professional,Total Civilian Employed Population 16 Years and Over,0.3166666666666666,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
548,Employment,Natural Resources,Total Civilian Employed Population 16 Years and Over,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
549,Employment,Production Transport Materials,Total Civilian Employed Population 16 Years and Over,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
550,Employment,Sales and Office,Total Civilian Employed Population 16 Years and Over,0.1833333333333333,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
551,Employment,Services,Total Civilian Employed Population 16 Years and Over,0.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
43,Employment,"Under 6 Years, Living with One Parent",None,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Employment,"Under 6 Years, Living with One Parent, Parent Not in Labor Force","Total Under 6 Years, Living with One Parent",0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
45,Employment,"Under 6 Years, Living with One Parent, Parent in Labor Force","Total Under 6 Years, Living with One Parent",1.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
46,Employment,"Under 6 Years, Living with Two Parents",None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Employment,"Under 6 Years, Living with Two Parents, One Parent in Labor Force","Total Under 6 Years, Living with Two Parents",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
48,Employment,"Under 6 Years, Living with Two Parents, Parents Not in Labor Force","Total Under 6 Years, Living with Two Parents",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
49,Employment,"Under 6 Years, Living with Two Parents, Parents in Labor Force","Total Under 6 Years, Living with Two Parents",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
552,Employment,Unemployment Rate,Total in Labor Force,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
50,Employment,"Unemployment Rate by Race, American Indian and Alaska Native Alone",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
51,Employment,"Unemployment Rate by Race, Asian Alone",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
52,Employment,"Unemployment Rate by Race, Black or African American Alone",None,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
53,Employment,"Unemployment Rate by Race, Hispanic or Latino",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
54,Employment,"Unemployment Rate by Race, Native Hawaiian and Other Pacific Islander Alone",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
55,Employment,"Unemployment Rate by Race, Some Other Race Alone",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
56,Employment,"Unemployment Rate by Race, Two or More Races",None,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
