,Category,Attribute,2024_Lakeshore,2024_San Francisco,2023_Lakeshore,2023_San Francisco,2022_Lakeshore,2022_San Francisco,2021_Lakeshore,2021_San Francisco,2020_Lakeshore,2020_San Francisco,2019_Lakeshore,2019_San Francisco,2018_Lakeshore,2018_San Francisco,2017_Lakeshore,2017_San Francisco,2016_Lakeshore,2016_San Francisco,2015_Lakeshore,2015_San Francisco,2014_Lakeshore,2014_San Francisco,2013_Lakeshore,2013_San Francisco,2012_Lakeshore,2012_San Francisco,2011_Lakeshore,2011_San Francisco,2010_Lakeshore,2010_San Francisco,2000_Lakeshore,2000_San Francisco
165,Housing Prices,Rent Burdened,0.5923862581244197,0.3773702650417666,0.5287460389316433,0.3624825280113618,0.4971865856403331,0.3544816426889404,0.4924845269672855,0.3563897828106696,0.3979697178251892,0.3563544593994971,0.5251552130164847,0.3529297030844112,0.4628950584948489,0.3699197884845561,0.6160812900375524,0.3878991192312319,0.6135389888603257,0.4067626321451752,0.5948482864003493,0.4173791589318863,0.6057503811805707,0.4319849192718836,0.5685689948892675,0.4383156700162905,0.5692500522247754,0.4389853971390884,0.5325515568135868,0.428152547877122,0.5286836935166994,0.4262060341083199,0.447442872687704,0.3576130496083063
166,Housing Prices,Rent Less than 100,0.0,754.0,0.0,626.0,0.0,381.0,0.0,475.0,0.0,576.0,10.0,515.0,9.0,661.0,7.0,807.0,10.0,967.0,10.0,985.0,0.0,920.0,0.0,790.0,0.0,565.0,0.0,361.0,0.0,441.0,6.0,882.0
167,Housing Prices,Rent Total,4308.0,224342.0,4418.0,222499.0,4443.0,221247.0,4524.0,222801.0,5812.0,216352.0,4671.0,225586.0,5727.0,223908.0,4527.0,224463.0,4668.0,224942.0,4581.0,224096.0,4591.0,220679.0,4696.0,218532.0,4787.0,214547.0,4946.0,212471.0,5090.0,209509.0,4595.0,214198.0
168,Housing Prices,"Rent Total No cash rent  (No cash rent, DEC2000 and ACS2009-2014)",808.0,24391.0,791.0,23658.0,683.0,23861.0,517.0,25262.0,538.0,24434.0,395.0,25889.0,929.0,24624.0,439.0,23011.0,344.0,21664.0,284.0,19249.0,58.0,5684.0,76.0,5764.0,91.0,5769.0,82.0,5919.0,76.0,6063.0,8.0,4296.0
169,Housing Prices,Rent Total No cash rent (ACS2015-),77.0,6574.0,44.0,6265.0,40.0,5300.0,76.0,5117.0,179.0,5023.0,29.0,5201.0,177.0,5312.0,27.0,5506.0,19.0,5474.0,20.0,5665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4296.0
170,Housing Prices,Rent Total With cash rent,4231.0,217768.0,4374.0,216234.0,4403.0,215947.0,4448.0,217684.0,5633.0,211329.0,4642.0,220385.0,5550.0,218596.0,4500.0,218957.0,4649.0,219468.0,4561.0,218431.0,4533.0,214995.0,4620.0,212768.0,4696.0,208778.0,4864.0,206552.0,5014.0,203446.0,4587.0,209902.0
171,Housing Type,10-19 Units,0.0892456412912135,0.0925379197284142,0.0934546103085429,0.0923999883084237,0.0846551416859739,0.0900771942919437,0.0828326961587475,0.0930403547035101,0.0937069936194169,0.0962190515498388,0.0857792084832418,0.0935187261717874,0.0996194313857174,0.0946685050547191,0.0741752879172359,0.0985825817499377,0.0747737111373475,0.0992631055282631,0.0732521602513747,0.0998890093101602,0.0854134165366614,0.0989643813541247,0.1033631008930267,0.1030360345325418,0.1040473110330807,0.1013723169444355,0.0941344268140488,0.10052668285996,0.1046551138294257,0.1009007991263674,0.0697445972495088,0.1011609484975196
172,Housing Type,2-4 Units,0.1179009148972898,0.2017718843922809,0.1073657927590511,0.2021278668719187,0.1176260916057743,0.2101162824957523,0.118332423083925,0.2096360130018344,0.1854122357062429,0.2022287586138438,0.0907025184624124,0.2142365774560225,0.0724199686590553,0.2153279843703097,0.0985750536794846,0.2133649627353271,0.0653286107831562,0.2122846837883216,0.0648075412411626,0.2137759032683493,0.0764430577223088,0.2160211494761344,0.0714421432642979,0.2171740852293648,0.0646830530401035,0.2192934753633387,0.0666785523266179,0.2190690726800969,0.055725450220863,0.2143170307250774,0.0732809430255402,0.2333180387098263
173,Housing Type,20 Units or More,0.5372000690488521,0.3071685393801789,0.5553772070626003,0.3055252440616536,0.5770807342719658,0.3019416426866756,0.5927544147096304,0.2920684353980636,0.531590141373702,0.2945817028635316,0.6281007384964968,0.2800774094055451,0.3824714573539288,0.2735017730947499,0.6033574077688855,0.2661850371363068,0.6221959858323495,0.2659349542938872,0.5926944226237235,0.2614392228040165,0.5955538221528861,0.2584728245557214,0.5909177275318259,0.2548589532687503,0.6196636481241915,0.2540519070620475,0.6767694776252452,0.2523401446707764,0.7031940197077812,0.2510832990389503,0.6172888015717093,0.2294308957166397
174,Housing Type,5-9 Units,0.0284826514759192,0.0921437915134281,0.0397717139290173,0.0930332820203043,0.0370700409909107,0.0927362724781724,0.0456945202985618,0.0943524210098949,0.0799449518328537,0.0946569352218048,0.0590797197500473,0.0983492545060992,0.0618983657935974,0.0986598761631959,0.0782744485652937,0.1020946776856109,0.0840220385674931,0.1036549343946272,0.1168499607227022,0.1040544246112061,0.0973088923556942,0.1046335574145608,0.0993729811894356,0.1019472899265958,0.0774348549251524,0.0992397342802,0.0591905865573186,0.100793898922852,0.0343187223921168,0.0996500628057915,0.0542239685658153,0.1129839810462099
