,Category,Attribute,2010_Farallon Islands,2011_Farallon Islands,2012_Farallon Islands,2013_Farallon Islands,2014_Farallon Islands,2015_Farallon Islands,2016_Farallon Islands,2017_Farallon Islands,2018_Farallon Islands,2019_Farallon Islands,2020_Farallon Islands,2021_Farallon Islands,2022_Farallon Islands,2023_Farallon Islands,2024_Farallon Islands,Category_y,2010_San Francisco,2011_San Francisco,2012_San Francisco,2013_San Francisco,2014_San Francisco,2015_San Francisco,2016_San Francisco,2017_San Francisco,2018_San Francisco,2019_San Francisco,2020_San Francisco,2021_San Francisco,2022_San Francisco,2023_San Francisco,2024_San Francisco
13,Households,Households,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Households,335264.0,337745.0,340178.0,344700.0,348153.0,352566.0,356034.0,358040.0,358942.0,361559.0,347723.0,360574.0,360015.0,361734.0,362994.0
14,Households,Living in Group Quarters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Households,0.0,0.0,97294.0,98556.0,99865.0,101403.0,101563.0,100859.0,99313.0,20176.0,19984.0,19002.0,23183.0,24801.0,26112.0
15,Housing,Median Year Moved In Owner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Housing,1995.6842698438252,1993.848383462497,1997.1416645945085,1997.5284754672896,2000.6779985725557,1999.6412538848176,2000.187938712356,2009.146091310434,2001.7370067504528,2007.0089461238213,2003.1260388697096,2005.4737919483905,2005.251952191235,2006.3591026631293,2007.6477461846248
16,Housing,Median Year Moved In Renter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Housing,2004.8217412659092,2005.622983870968,2004.352184865961,2005.421611492817,2010.36722362394,2008.6635687491075,2010.163989518698,2014.2607703428332,2011.2591798383655,2012.8029277571784,2013.023803462322,2011.535989556136,2014.5253318985476,2016.5115832671431,2015.9938834595152
17,Housing,Median Year Structure Built,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Housing,1939.0,1948.3707559981888,1941.074692243788,1941.2592200959407,1949.2994290710835,1941.7023507482008,1941.6269704596637,1942.047870171528,1942.3594918609767,1943.4359038418831,1945.37322767794,1944.236438679245,1944.5780497258984,1945.1754582655976,1945.566896353718
18,Housing,Post 1979 All and Pre 1979 Single Family Renter Occupied by Year Structure Built by Units in Structure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Housing,111672.0,113725.0,113799.0,114749.0,114951.0,65701.0,65448.0,67616.0,68451.0,70573.0,69953.0,73349.0,73992.0,77998.0,82164.0
19,Housing,Pre 1980 MultiFamily Renter Occupied by Year Structure Built by Units in Structure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Housing,88150.0,87105.0,88408.0,89862.0,90725.0,158259.0,159388.0,156751.0,155386.0,154965.0,146145.0,149184.0,146950.0,144178.0,141862.0
20,Housing,Total Number of Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Housing,371781.0,374229.0,375132.0,377499.0,379773.0,382915.0,385944.0,389511.0,393098.0,396851.0,382814.0,403943.0,407284.0,410552.0,413571.0
21,Housing,Total Vacant Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Housing,36517.0,36484.0,34954.0,32799.0,31620.0,30349.0,29910.0,31471.0,34156.0,35292.0,35091.0,43369.0,47269.0,48818.0,50577.0
22,Housing Prices,Contract Rent 100 to 149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Housing Prices,1189.0,1188.0,1291.0,1235.0,1115.0,1198.0,1047.0,965.0,762.0,795.0,848.0,710.0,561.0,669.0,735.0
