,year,label,Category,Attribute,030101,030102,030201,030202,030301,030302
30,2000,DEC_SF3,Employment,"Under 6 Years, Living with Two Parents, Parents Not in Labor Force",0.0684210526315789,0.0245901639344262,0.0704225352112676,0.0,0.03954802259887,0.0
31,2000,DEC_SF3,Employment,"Under 6 Years, Living with Two Parents, Parents in Labor Force",0.6263157894736842,0.7213114754098361,0.5492957746478874,0.8979591836734694,0.7853107344632768,0.7076023391812866
32,2000,DEC_SF3,Employment,Unemployment Rate,0.0472541507024265,0.0233108108108108,0.0301671422747655,0.0207011686143572,0.0149341142020497,0.0343053173241852
33,2000,DEC_SF3,Employment,Worked in place of residence,0.7984469952734639,0.7946490618485059,0.7361229718189581,0.7769149311683727,0.7868205283935621,0.6814637072585483
34,2000,DEC_SF3,Employment,Worked outside place of residence,0.2015530047265361,0.2053509381514941,0.2638770281810418,0.2230850688316272,0.2131794716064379,0.3185362927414517
35,2000,DEC_SF3,Households,Average Family Household Size,2.860082304526749,2.739168877099912,3.0098159509202453,2.9097651421508037,3.003946329913181,3.201824401368301
36,2000,DEC_SF3,Households,Average Household Size,2.135294117647059,2.021440823327616,2.125200642054575,2.085296889726673,2.391714520098441,2.663224781572677
37,2000,DEC_SF3,Households,Family Households,0.3573529411764706,0.4849914236706689,0.4360620652755484,0.38124410933082,0.5196882690730107,0.6965845909451946
38,2000,DEC_SF3,Households,Households,2040.0,2332.0,1869.0,2122.0,2438.0,1259.0
39,2000,DEC_SF3,Households,"Households with 60 years and older, % of Total (DEC, 65 years and older)",0.1215686274509803,0.2371355060034305,0.3001605136436597,0.2040527803958529,0.3515176374077112,0.4455917394757744
40,2000,DEC_SF3,Households,"Households with Children, % of Total",0.142156862745098,0.207975986277873,0.1508828250401284,0.1555136663524976,0.1993437243642329,0.2692613185067514
41,2000,DEC_SF3,Households,Living in Group Quarters,119.0,83.0,8.0,29.0,55.0,0.0
42,2000,DEC_SF3,Households,Non-Family Households,0.6426470588235295,0.5150085763293311,0.5639379347244515,0.61875589066918,0.4803117309269893,0.3034154090548054
43,2000,DEC_SF3,Households,"Single Person Households, % of Total",0.3803921568627451,0.3722126929674099,0.3595505617977528,0.3868991517436381,0.2821985233798195,0.2120730738681493
44,2000,DEC_SF3,Housing,Built 1939 or earlier,0.608305804624823,0.2886473429951691,0.4127149557060969,0.455656108597285,0.378540087754288,0.4339908952959029
45,2000,DEC_SF3,Housing,Built 1940 to 1949,0.1255309108069844,0.0503220611916264,0.1500781657113079,0.0814479638009049,0.1826884722776226,0.2473444613050076
