,year,label,Category,Attribute,017700,020100,020101,020102,020200,020201,020202,020700,020701,020702,020800,020801,020802,020900,021000,022801,022802,022803,022901,022902,022903
5,2000,DEC_SF3,Age,5-17 Years,0.0891032917139614,0.1197160883280757,INACTIVE,INACTIVE,0.0714285714285714,INACTIVE,INACTIVE,0.0552791597567716,INACTIVE,INACTIVE,0.1339031339031339,INACTIVE,INACTIVE,0.1256873527101335,0.0690940995832419,0.1263795715213157,0.1563015960374243,0.1601004248744689,0.1436062928600242,0.1681446111869031,0.1803652968036529
6,2000,DEC_SF3,Age,60 and older,0.1197502837684449,0.1089905362776025,INACTIVE,INACTIVE,0.1208791208791208,INACTIVE,INACTIVE,0.1037405564768748,INACTIVE,INACTIVE,0.1170804504137837,INACTIVE,INACTIVE,0.1111547525530243,0.0967317394165387,0.075308374810647,0.1728123280132086,0.1054461181923522,0.0784590560709963,0.0600272851296043,0.0832064941653982
7,2000,DEC_SF3,Age,Under 18 Years,203.0,1138.0,INACTIVE,INACTIVE,610.0,INACTIVE,INACTIVE,451.0,INACTIVE,INACTIVE,1328.0,INACTIVE,INACTIVE,865.0,492.0,860.0,354.0,1177.0,1028.0,666.0,896.0
8,2000,DEC_SF3,Age,Under 6 Years,65.0,419.0,INACTIVE,INACTIVE,207.0,INACTIVE,INACTIVE,180.0,INACTIVE,INACTIVE,480.0,INACTIVE,INACTIVE,314.0,218.0,294.0,95.0,416.0,366.0,202.0,190.0
9,2000,DEC_SF3,Educational Attainment,College Degree or higher,0.3812233285917496,0.2190563027125598,INACTIVE,INACTIVE,0.4232633279483037,INACTIVE,INACTIVE,0.6023199824906982,INACTIVE,INACTIVE,0.2725466825586015,INACTIVE,INACTIVE,0.3124491456468674,0.5434210526315789,0.3006194978806651,0.2904865649963689,0.2756725484524154,0.2317220543806646,0.2548800892359175,0.2951713395638629
10,2000,DEC_SF3,Educational Attainment,High School or Less,0.3691322901849218,0.5534533850011397,INACTIVE,INACTIVE,0.3465266558966074,INACTIVE,INACTIVE,0.2136134821623987,INACTIVE,INACTIVE,0.5401271354787446,INACTIVE,INACTIVE,0.4713859506373745,0.2484210526315789,0.4933159439191392,0.466957153231663,0.5417992479028059,0.6160120845921451,0.5677635248187396,0.5058411214953271
11,2000,DEC_SF3,Educational Attainment,Some College/Associate Degree,0.2496443812233286,0.2274903122863004,INACTIVE,INACTIVE,0.2302100161550888,INACTIVE,INACTIVE,0.184066535346903,INACTIVE,INACTIVE,0.1873261819626539,INACTIVE,INACTIVE,0.216164903715758,0.2081578947368421,0.2060645582001956,0.242556281771968,0.1825282036447787,0.1522658610271903,0.177356385945343,0.1989875389408099
12,2000,DEC_SF3,Employment,"6-17, Living with One Parent",19.0,192.0,INACTIVE,INACTIVE,149.0,INACTIVE,INACTIVE,55.0,INACTIVE,INACTIVE,147.0,INACTIVE,INACTIVE,146.0,102.0,201.0,61.0,182.0,177.0,109.0,242.0
13,2000,DEC_SF3,Employment,"6-17, Living with One Parent, Parent Not in Labor Force",0.3684210526315789,0.4322916666666667,INACTIVE,INACTIVE,0.1342281879194631,INACTIVE,INACTIVE,0.0909090909090909,INACTIVE,INACTIVE,0.4829931972789115,INACTIVE,INACTIVE,0.5,0.2058823529411764,0.6169154228855721,0.4426229508196721,0.3021978021978022,0.5028248587570622,0.1834862385321101,0.3223140495867768
14,2000,DEC_SF3,Employment,"6-17, Living with One Parent, Parent in Labor Force",0.631578947368421,0.5677083333333334,INACTIVE,INACTIVE,0.8657718120805369,INACTIVE,INACTIVE,0.9090909090909092,INACTIVE,INACTIVE,0.5170068027210885,INACTIVE,INACTIVE,0.5,0.7941176470588235,0.3830845771144278,0.5573770491803278,0.6978021978021978,0.4971751412429379,0.8165137614678899,0.6776859504132231
