,Category,Attribute,2000_Mission Bay,2010_Mission Bay,2011_Mission Bay,2012_Mission Bay,2013_Mission Bay,2014_Mission Bay,2015_Mission Bay,2016_Mission Bay,2017_Mission Bay,2018_Mission Bay,2019_Mission Bay,2020_Mission Bay,2021_Mission Bay,2022_Mission Bay,2023_Mission Bay,2024_Mission Bay
416,Income,Households Total for Income,272.0,3060.0,3565.0,4105.0,4444.0,4717.0,4794.0,5186.0,5509.0,5870.0,6312.0,6065.0,6654.0,6961.0,7476.0,7870.0
417,Income,"Households Total for Income by Race, American Indian and Alaska Native Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,19.0,21.0,24.0,24.0,0.0,0.0,0.0,28.0
418,Income,"Households Total for Income by Race, Asian Alone",71.0,1083.0,1349.0,1613.0,1663.0,1907.0,1887.0,1943.0,2006.0,2344.0,2404.0,2144.0,2577.0,3119.0,3679.0,4070.0
419,Income,"Households Total for Income by Race, Black or African American Alone",29.0,133.0,113.0,97.0,119.0,204.0,217.0,295.0,339.0,272.0,154.0,242.0,245.0,280.0,500.0,632.0
420,Income,"Households Total for Income by Race, Hispanic or Latino",0.0,210.0,270.0,319.0,336.0,399.0,443.0,456.0,653.0,729.0,964.0,801.0,956.0,679.0,628.0,484.0
421,Income,"Households Total for Income by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,28.0,24.0,19.0,19.0
422,Income,"Households Total for Income by Race, Some Other Race Alone",0.0,94.0,110.0,131.0,182.0,174.0,204.0,221.0,251.0,289.0,427.0,411.0,566.0,426.0,346.0,147.0
423,Income,"Households Total for Income by Race, Two or More Races",19.0,37.0,15.0,47.0,138.0,136.0,158.0,260.0,308.0,257.0,270.0,227.0,134.0,157.0,209.0,376.0
424,Income,"Households Total for Income by Race, White Alone",153.0,1713.0,1978.0,2217.0,2342.0,2296.0,2328.0,2452.0,2586.0,2687.0,3033.0,2979.0,3104.0,2955.0,2723.0,2598.0
425,Income,"Households Total for Income by Race, White Alone, Not Hispanic or Latino",153.0,1576.0,1791.0,2063.0,2211.0,2117.0,2140.0,2311.0,2296.0,2429.0,2533.0,2621.0,2663.0,2677.0,2418.0,2449.0
426,Income,Median Family Income,25192.30769230769,98363.09523809524,109563.2530120482,108027.52293577982,95777.02702702704,127464.1577060932,132358.1560283688,130176.21145374449,166609.5890410959,179722.22222222222,184623.8938053097,190239.7260273973,187344.9131513648,207449.37423022263,202506.9495890411,201274.61285183215
427,Income,Median Household Income,34000.0,102854.33070866142,110057.003257329,103664.65863453817,109936.90851735017,113812.6491646778,106508.87573964497,111896.55172413791,143049.45054945056,161105.6268509378,167267.8088367899,170739.79591836734,164115.6462585034,203332.1257709842,186504.42477876105,181474.35897435897
428,Income,"Median Household Income by Race, American Indian and Alaska Native Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,67500.0,67500.0,67500.0,67500.0,67500.0,0.0,0.0,0.0,175000.0
429,Income,"Median Household Income by Race, Asian Alone",19583.33333333333,81926.75159235668,85980.66298342541,71294.64285714286,82500.0,106856.79611650483,107560.48387096774,109711.53846153848,141562.5,158711.21718377087,172991.96787148595,197528.08988764044,168851.50812064964,205996.289503386,196246.8193384224,176356.58914728684
430,Income,"Median Household Income by Race, Black or African American Alone",28452.380952380958,17500.0,18012.82051282051,17767.857142857145,9999.0,9999.0,9999.0,9999.0,27596.153846153848,50821.91780821918,56935.48387096774,205185.3925925926,202519.48062015505,201388.94444444444,79807.69230769231,202265.9516616314
431,Income,"Median Household Income by Race, Hispanic or Latino",0.0,133333.33333333334,129268.29268292684,70926.72413793103,68418.36734693877,71762.29508196721,71098.48484848485,71863.63636363637,170420.79207920792,168013.1004366812,138725.49019607843,96030.4054054054,97463.76811594205,85024.75247524753,89887.6404494382,126851.85185185184
432,Income,"Median Household Income by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87500.0,87500.0,87500.0,87500.0,87500.0
433,Income,"Median Household Income by Race, Some Other Race Alone",0.0,56046.51162790698,54912.28070175438,65986.23853211009,66676.82926829268,69344.26229508196,68789.0625,68563.82978723405,195952.38095238092,194467.2131147541,13962.053571428572,13336.03896103896,14066.091954022988,13338.557993730408,13276.515151515152,62291.66666666666
434,Income,"Median Household Income by Race, Two or More Races",55000.0,73875.0,67500.0,23455.88235294117,55974.02597402597,55357.142857142855,55806.45161290323,128750.0,182758.6206896552,196212.1212121212,197857.14285714287,213854.0573248408,220090.0892857143,200937.5375,209180.0546875,140000.0
435,Income,"Median Household Income by Race, White Alone",52250.0,137653.68852459016,137944.66403162054,142922.18543046358,143509.61538461538,136936.93693693692,126944.44444444444,131327.16049382716,145474.1379310345,164179.95444191343,171830.14354066984,152062.5,174277.45664739885,206848.9889018692,201130.6984924623,196974.0634005764
436,Income,"Median Household Income by Race, White Alone, Not Hispanic or Latino",52250.0,134004.7393364929,134728.77358490566,140946.6911764706,143882.04225352113,137216.98113207548,123481.30841121497,126673.22834645669,143890.67524115756,162671.23287671234,177752.97619047618,156415.92920353982,192871.90082644628,208790.3762315271,205222.4311111111,202093.1979655712
437,Income,Percent in Poverty,0.1941176470588235,0.059681697612732,0.0816297149438525,0.1131310649797322,0.1139537481845603,0.1194708994708994,0.1350505787881948,0.0954194745580623,0.0985120114736464,0.0888625592417061,0.0873447204968944,0.0775616880621108,0.0785488090320804,0.0658659434327779,0.06902126601169,0.0756332500891901
439,Income,"Percent in Poverty by Race, Asian Alone",0.3915343915343915,0.0709105560032232,0.1094771241830065,0.1317152986092173,0.1310578426263679,0.1254528985507246,0.1533457249070632,0.0918125887363937,0.0839360070129301,0.0610337592981117,0.0258916323731138,0.029335461983636,0.010994674454561,0.0405797101449275,0.044842426766625,0.079507566042575
440,Income,"Percent in Poverty by Race, Black or African American Alone",0.0,0.3439153439153439,0.3076923076923077,0.4201680672268907,0.58,0.4507658643326039,0.44375,0.4052478134110787,0.314516129032258,0.1808873720136518,0.0,0.0159744408945686,0.0114068441064638,0.067472306143001,0.0764563106796116,0.1198830409356725
