,Category,Attribute,2000_McLaren Park,2010_McLaren Park,2011_McLaren Park,2012_McLaren Park,2013_McLaren Park,2014_McLaren Park,2015_McLaren Park,2016_McLaren Park,2017_McLaren Park,2018_McLaren Park,2019_McLaren Park,2020_McLaren Park,2021_McLaren Park,2022_McLaren Park,2023_McLaren Park,2024_McLaren Park
29,Households,"Households with 60 years and older, % of Total (DEC, 65 years and older)",0.3734939759036144,,,,,,,,,,,,,,,
30,Households,"Households with Children, % of Total",0.2891566265060241,,,,,,,,,,,,,,,
31,Households,Living in Group Quarters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Households,Non-Family Households,0.0,,,,,,,,,,,,,,,
33,Households,"Single Person Households, % of Total",0.0,,,,,,,,,,,,,,,
34,Housing,Median Year Moved In Owner,1983.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Housing,Median Year Moved In Renter,1993.235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Housing,Median Year Structure Built,1945.1515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Housing,"Overcrowding, Renter Occupied Housing",0.6935483870967742,,,,,,,,,,,,,,,
38,Housing,Owner Occupied,0.2619047619047619,,,,,,,,,,,,,,,
39,Housing,"Owner Occupied by Race, American Indian and Alaska Native Alone",,,,,,,,,,,,,,,,
40,Housing,"Owner Occupied by Race, Asian Alone",0.3333333333333333,,,,,,,,,,,,,,,
41,Housing,"Owner Occupied by Race, Black or African American Alone",1.0,,,,,,,,,,,,,,,
42,Housing,"Owner Occupied by Race, Hispanic or Latino",0.0,,,,,,,,,,,,,,,
43,Housing,"Owner Occupied by Race, Native Hawaiian and Other Pacific Islander Alone",,,,,,,,,,,,,,,,
44,Housing,"Owner Occupied by Race, Some Other Race Alone",0.0,,,,,,,,,,,,,,,
45,Housing,"Owner Occupied by Race, Two or More Races",,,,,,,,,,,,,,,,
46,Housing,"Owner Occupied by Race, White Alone",0.0,,,,,,,,,,,,,,,
47,Housing,"Owner Occupied by Race, White Alone, Not Hispanic or Latino",,,,,,,,,,,,,,,,
48,Housing,Post 1979 All and Pre 1979 Single Family Renter Occupied by Year Structure Built by Units in Structure,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Housing,Pre 1980 MultiFamily Renter Occupied by Year Structure Built by Units in Structure,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Housing,Renter Occupied,0.7380952380952381,,,,,,,,,,,,,,,
51,Housing,"Renter Occupied by Race, American Indian and Alaska Native Alone",,,,,,,,,,,,,,,,
52,Housing,"Renter Occupied by Race, Asian Alone",0.6666666666666666,,,,,,,,,,,,,,,
53,Housing,"Renter Occupied by Race, Black or African American Alone",0.0,,,,,,,,,,,,,,,
54,Housing,"Renter Occupied by Race, Hispanic or Latino",1.0,,,,,,,,,,,,,,,
55,Housing,"Renter Occupied by Race, Native Hawaiian and Other Pacific Islander Alone",,,,,,,,,,,,,,,,
56,Housing,"Renter Occupied by Race, Some Other Race Alone",1.0,,,,,,,,,,,,,,,
57,Housing,"Renter Occupied by Race, Two or More Races",,,,,,,,,,,,,,,,
58,Housing,"Renter Occupied by Race, White Alone",1.0,,,,,,,,,,,,,,,
59,Housing,"Renter Occupied by Race, White Alone, Not Hispanic or Latino",,,,,,,,,,,,,,,,
60,Housing,Total Number of Units,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Housing,Total Vacant Units,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Housing,Vacancy Rate,0.0232558139534883,,,,,,,,,,,,,,,
63,Housing Prices,Contract Rent 100 to 149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Housing Prices,Contract Rent 1000 to 1249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Housing Prices,Contract Rent 1250 to 1499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Housing Prices,Contract Rent 150 to 199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Housing Prices,Contract Rent 1500 to 1999,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Housing Prices,Contract Rent 200 to 249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Housing Prices,"Contract Rent 2000 to 2499 (Contract Rent 2000 or more, DEC2000 and ACS2009-2014)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Housing Prices,Contract Rent 250 to 299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Housing Prices,Contract Rent 2500 to 2999 (ACS2015-),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Housing Prices,Contract Rent 300 to 349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Housing Prices,Contract Rent 3000 to 3499 (ACS2015-),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Housing Prices,Contract Rent 350 to 399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Housing Prices,Contract Rent 3500 or more (ACS2015-),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Housing Prices,Contract Rent 400 to 449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
