,Category,Attribute,2000_Bayview Hunters Point,2010_Bayview Hunters Point,2011_Bayview Hunters Point,2012_Bayview Hunters Point,2013_Bayview Hunters Point,2014_Bayview Hunters Point,2015_Bayview Hunters Point,2016_Bayview Hunters Point,2017_Bayview Hunters Point,2018_Bayview Hunters Point,2019_Bayview Hunters Point,2020_Bayview Hunters Point,2021_Bayview Hunters Point,2022_Bayview Hunters Point,2023_Bayview Hunters Point,2024_Bayview Hunters Point
202,Sex,Female,0.5240238940351485,0.5056611582463713,0.5141033382213405,0.5082211836252041,0.5021627356565739,0.5065329357549472,0.513100197325148,0.5112714646122127,0.5163648176723787,0.4952879581151832,0.519797695678044,0.5150359555458706,0.4995393160818174,0.5004870795734209,0.5127735315673752,0.5161245520957751
203,Sex,Male,0.4759761059648515,0.4943388417536287,0.4858966617786595,0.4917788163747958,0.4978372643434261,0.4934670642450529,0.486899802674852,0.4887285353877872,0.4836351823276212,0.5047120418848168,0.480202304321956,0.4849640444541294,0.5004606839181825,0.4995129204265792,0.4872264684326248,0.4838754479042249
204,Unit Size,1 Bedroom,1729.0,1196.0,1098.0,1257.0,1199.0,1420.0,1372.0,1386.0,1415.0,1879.0,1447.0,4079.0,1466.0,1733.0,1669.0,1662.0
205,Unit Size,2 Bedrooms,3595.0,3861.0,4044.0,4030.0,4172.0,4019.0,4119.0,3962.0,4073.0,3430.0,4316.0,5752.0,4505.0,4241.0,4410.0,4611.0
206,Unit Size,3-4 Bedrooms,3804.0,5273.0,5302.0,5137.0,5370.0,5413.0,5574.0,5769.0,5754.0,5458.0,5552.0,4825.0,5501.0,5549.0,5374.0,5130.0
207,Unit Size,5 or More Bedrooms,241.0,319.0,370.0,488.0,433.0,407.0,387.0,362.0,382.0,490.0,498.0,463.0,421.0,514.0,560.0,483.0
208,Unit Size,No Bedroom,594.0,365.0,378.0,449.0,308.0,342.0,238.0,204.0,169.0,1717.0,305.0,1686.0,392.0,408.0,418.0,348.0
209,Vehicles Available,Households with no Vehicle,0.2323492981007432,0.2173782019085886,0.2227815615437765,0.2248628884826325,0.2050103208857196,0.2054089462848587,0.1990979381443298,0.190688775510204,0.2072096613093616,0.2992395112364351,0.1811613127883694,0.2748620556910047,0.1646105040535777,0.1463540324658593,0.1463815789473684,0.1589323098394975
210,Vehicles Available,Percent of No Vehicle Homeowning Households,0.1071981424148606,0.0906142306912629,0.0889672335130651,0.1011641910879165,0.0831129580657348,0.0810400455494401,0.0690843155031731,0.0684384227896473,0.0692065711289758,0.0736045798405234,0.0694467519521515,0.1452482797098754,0.0658803706823925,0.0634421070067914,0.0606864533244901,0.0729078969523488
211,Vehicles Available,Percent of No Vehicle Renting Households,0.3754424778761062,0.3418956590999601,0.3443209644000753,0.3387543892071706,0.3253169276659209,0.3263799150821488,0.3331463825014021,0.3255412914351408,0.3564543564543564,0.4612448620082208,0.3041331382589612,0.3431286120090117,0.272861629410678,0.2356403853014627,0.2399927549357,0.2514027149321267
212,Vehicles Available,Vehicles Available,12771.0,13914.0,14136.0,14585.0,15609.0,15745.0,16084.0,16573.0,16562.0,14338.0,17540.0,16957.0,17288.0,17784.0,17300.0,16881.0
213,Vehicles Available,Vehicles Homeowners,0.690705504658993,0.6485554118154377,0.6414827391058291,0.631744943435036,0.6421936062528029,0.6400762146713243,0.6632678438199453,0.6811681650877934,0.6932737592078252,0.6773744041070774,0.680672748004561,0.4517898213127322,0.6612100879222582,0.6498538011695907,0.6589595375722543,0.6564184586221196
214,Vehicles Available,Vehicles Per Capita,0.3685395203878452,0.4113282289295533,0.4064521694125765,0.4106368601835689,0.4246307026850567,0.4268094334507997,0.4408024556018417,0.4495835933049399,0.448360811066894,0.4316204581715283,0.4743874073673392,0.4618925691871867,0.4551030615736963,0.4559064807219032,0.4528321641712909,0.468903641565512
215,Vehicles Available,Vehicles Renters,0.3092944953410069,0.3514445881845623,0.3585172608941709,0.368255056564964,0.3578063937471971,0.3599237853286757,0.3367321561800547,0.3188318349122066,0.3067262407921748,0.3558376342586135,0.319327251995439,0.5482101786872678,0.3387899120777418,0.3501461988304093,0.3410404624277456,0.3435815413778804
