,year,label,Category,Attribute,060501
70,2000,DEC_SF3,Housing,"Renter Occupied by Race, Black or African American Alone",0.0
71,2000,DEC_SF3,Housing,"Renter Occupied by Race, Hispanic or Latino",1.0
72,2000,DEC_SF3,Housing,"Renter Occupied by Race, Native Hawaiian and Other Pacific Islander Alone",
73,2000,DEC_SF3,Housing,"Renter Occupied by Race, Some Other Race Alone",1.0
74,2000,DEC_SF3,Housing,"Renter Occupied by Race, Two or More Races",
75,2000,DEC_SF3,Housing,"Renter Occupied by Race, White Alone",1.0
76,2000,DEC_SF3,Housing,"Renter Occupied by Race, White Alone, Not Hispanic or Latino",
77,2000,DEC_SF3,Housing,Total Number of Units,86.0
78,2000,DEC_SF3,Housing,Total Vacant Units,2.0
79,2000,DEC_SF3,Housing,Vacancy Rate,0.0232558139534883
80,2000,DEC_SF3,Housing Prices,Contract Rent 100 to 149,0.0
81,2000,DEC_SF3,Housing Prices,Contract Rent 1000 to 1249,0.0
82,2000,DEC_SF3,Housing Prices,Contract Rent 1250 to 1499,0.0
83,2000,DEC_SF3,Housing Prices,Contract Rent 150 to 199,0.0
84,2000,DEC_SF3,Housing Prices,Contract Rent 1500 to 1999,8.0
85,2000,DEC_SF3,Housing Prices,Contract Rent 200 to 249,0.0
86,2000,DEC_SF3,Housing Prices,"Contract Rent 2000 to 2499 (Contract Rent 2000 or more, DEC2000 and ACS2009-2014)",0.0
87,2000,DEC_SF3,Housing Prices,Contract Rent 250 to 299,0.0
88,2000,DEC_SF3,Housing Prices,Contract Rent 300 to 349,0.0
89,2000,DEC_SF3,Housing Prices,Contract Rent 350 to 399,0.0
90,2000,DEC_SF3,Housing Prices,Contract Rent 400 to 449,0.0
91,2000,DEC_SF3,Housing Prices,Contract Rent 500 to 549,0.0
92,2000,DEC_SF3,Housing Prices,Contract Rent 550 to 599,0.0
93,2000,DEC_SF3,Housing Prices,Contract Rent 600 to 649,0.0
94,2000,DEC_SF3,Housing Prices,Contract Rent 650 to 699,0.0
95,2000,DEC_SF3,Housing Prices,Contract Rent 700 to 749,11.0
96,2000,DEC_SF3,Housing Prices,Contract Rent 750 to 749,34.0
97,2000,DEC_SF3,Housing Prices,Contract Rent 750 to 799,0.0
98,2000,DEC_SF3,Housing Prices,Contract Rent 800 to 899,9.0
99,2000,DEC_SF3,Housing Prices,Contract Rent 900 to 999,0.0
100,2000,DEC_SF3,Housing Prices,Contract Rent Less than 100,0.0
101,2000,DEC_SF3,Housing Prices,Contract Rent Total,62.0
102,2000,DEC_SF3,Housing Prices,Contract Rent Total No cash Rent (ACS2015-),0.0
103,2000,DEC_SF3,Housing Prices,"Contract Rent Total No cash Rent (No cash rent, DEC2000 and ACS2009-2014)",0.0
104,2000,DEC_SF3,Housing Prices,Contract Rent Total With cash Rent,62.0
105,2000,DEC_SF3,Housing Prices,Extremely Rent Burdened,0.1774193548387097
106,2000,DEC_SF3,Housing Prices,Home Value 10000 to 14999 ,0.0
107,2000,DEC_SF3,Housing Prices,Home Value 100000 to 124999,0.0
108,2000,DEC_SF3,Housing Prices,"Home Value 1000000 to 1499999 (1000000 or more, DEC2000 and ACS2009-2014)",0.0
109,2000,DEC_SF3,Housing Prices,Home Value 125000 to 149999,0.0
110,2000,DEC_SF3,Housing Prices,Home Value 15000 to 19999 ,0.0
111,2000,DEC_SF3,Housing Prices,Home Value 150000 to 174999,0.0
112,2000,DEC_SF3,Housing Prices,Home Value 175000 to 199999,0.0
113,2000,DEC_SF3,Housing Prices,Home Value 20000 to 24999 ,0.0
114,2000,DEC_SF3,Housing Prices,Home Value 200000 to 249999,0.0
115,2000,DEC_SF3,Housing Prices,Home Value 25000 to 29999 ,10.0
116,2000,DEC_SF3,Housing Prices,Home Value 250000 to 299999,12.0
117,2000,DEC_SF3,Housing Prices,Home Value 30000 to 34999 ,0.0
118,2000,DEC_SF3,Housing Prices,Home Value 300000 to 399999,0.0
119,2000,DEC_SF3,Housing Prices,Home Value 35000 to 39999 ,0.0
120,2000,DEC_SF3,Housing Prices,Home Value 40000 to 49999 ,0.0
121,2000,DEC_SF3,Housing Prices,Home Value 400000 to 499999,0.0
122,2000,DEC_SF3,Housing Prices,Home Value 50000 to 59999 ,0.0
123,2000,DEC_SF3,Housing Prices,Home Value 500000 to 749999,0.0
124,2000,DEC_SF3,Housing Prices,Home Value 60000 to 69999 ,0.0
125,2000,DEC_SF3,Housing Prices,Home Value 70000 to 79999 ,0.0
126,2000,DEC_SF3,Housing Prices,Home Value 750000 to 999999,0.0
127,2000,DEC_SF3,Housing Prices,Home Value 80000 to 89999 ,0.0
128,2000,DEC_SF3,Housing Prices,Home Value 90000 to 99999 ,0.0
129,2000,DEC_SF3,Housing Prices,Home Value Less than 10000,0.0
130,2000,DEC_SF3,Housing Prices,Home Value Total,22.0
131,2000,DEC_SF3,Housing Prices,Housing Units with a Mortgage,22.0
132,2000,DEC_SF3,Housing Prices,Housing Units with a Mortgage 0 to 30%,16.0
133,2000,DEC_SF3,Housing Prices,Housing Units with a Mortgage 30-50%,6.0
134,2000,DEC_SF3,Housing Prices,Housing Units with a Mortgage 50%+,0.0
135,2000,DEC_SF3,Housing Prices,Housing Units with a Mortgage Not Computed,0.0
136,2000,DEC_SF3,Housing Prices,Housing Units without a Mortgage,0.0
137,2000,DEC_SF3,Housing Prices,Housing Units without a Mortgage 0 to 30%,0.0
138,2000,DEC_SF3,Housing Prices,Housing Units without a Mortgage 30-50%,0.0
139,2000,DEC_SF3,Housing Prices,Housing Units without a Mortgage 50%+,0.0
140,2000,DEC_SF3,Housing Prices,Housing Units without a Mortgage Not Computed,0.0
141,2000,DEC_SF3,Housing Prices,Median Contract Rent,729.4117647058823
142,2000,DEC_SF3,Housing Prices,Median Home Value,254166.66666666663
143,2000,DEC_SF3,Housing Prices,Median Rent,827.4193548387096
144,2000,DEC_SF3,Housing Prices,Median Rent as % of Household Income,16.966666666666665
145,2000,DEC_SF3,Housing Prices,Rent 100 to 149,0.0
146,2000,DEC_SF3,Housing Prices,Rent 1000 to 1249,0.0
147,2000,DEC_SF3,Housing Prices,Rent 1250 to 1499,0.0
148,2000,DEC_SF3,Housing Prices,Rent 150 to 199,0.0
149,2000,DEC_SF3,Housing Prices,Rent 1500 to 1999,8.0
150,2000,DEC_SF3,Housing Prices,Rent 200 to 249,0.0
151,2000,DEC_SF3,Housing Prices,"Rent 2000 to 2499  (Rent 2000 or more, DEC2000 and ACS2009-2014)",0.0
152,2000,DEC_SF3,Housing Prices,Rent 250 to 299,0.0
153,2000,DEC_SF3,Housing Prices,Rent 300 to 349,0.0
154,2000,DEC_SF3,Housing Prices,Rent 350 to 399,0.0
155,2000,DEC_SF3,Housing Prices,Rent 400 to 449,0.0
156,2000,DEC_SF3,Housing Prices,Rent 450 to 499,0.0
157,2000,DEC_SF3,Housing Prices,Rent 500 to 549,0.0
158,2000,DEC_SF3,Housing Prices,Rent 550 to 599,0.0
159,2000,DEC_SF3,Housing Prices,Rent 600 to 649,0.0
160,2000,DEC_SF3,Housing Prices,Rent 650 to 699,0.0
161,2000,DEC_SF3,Housing Prices,Rent 700 to 749,0.0
162,2000,DEC_SF3,Housing Prices,Rent 750 to 799,14.0
163,2000,DEC_SF3,Housing Prices,Rent 800 to 899,31.0
164,2000,DEC_SF3,Housing Prices,Rent 900 to 999,9.0
165,2000,DEC_SF3,Housing Prices,Rent Burdened,0.4032258064516129
166,2000,DEC_SF3,Housing Prices,Rent Less than 100,0.0
167,2000,DEC_SF3,Housing Prices,Rent Total,62.0
168,2000,DEC_SF3,Housing Prices,"Rent Total No cash rent  (No cash rent, DEC2000 and ACS2009-2014)",0.0
169,2000,DEC_SF3,Housing Prices,Rent Total No cash rent (ACS2015-),0.0
170,2000,DEC_SF3,Housing Prices,Rent Total With cash rent,62.0
171,2000,DEC_SF3,Housing Type,10-19 Units,0.0
172,2000,DEC_SF3,Housing Type,2-4 Units,0.0
173,2000,DEC_SF3,Housing Type,20 Units or More,0.0
174,2000,DEC_SF3,Housing Type,5-9 Units,0.0930232558139534
175,2000,DEC_SF3,Housing Type,Other Type,0.0
176,2000,DEC_SF3,Housing Type,Single Family Housing,0.9069767441860463
177,2000,DEC_SF3,Income,Household Income 10000 to 14999,0.0
178,2000,DEC_SF3,Income,Household Income 100000 to 124999,0.0
179,2000,DEC_SF3,Income,Household Income 125000 to 149999,12.0
180,2000,DEC_SF3,Income,Household Income 15000 to 19999,9.0
181,2000,DEC_SF3,Income,Household Income 150000 to 199999,0.0
182,2000,DEC_SF3,Income,Household Income 20000 to 24999,0.0
183,2000,DEC_SF3,Income,Household Income 25000 to 29999,15.0
184,2000,DEC_SF3,Income,Household Income 30000 to 34999,0.0
185,2000,DEC_SF3,Income,Household Income 35000 to 39999,0.0
186,2000,DEC_SF3,Income,Household Income 40000 to 44999,0.0
187,2000,DEC_SF3,Income,Household Income 45000 to 49999,6.0
188,2000,DEC_SF3,Income,Household Income 50000 to 59999,0.0
189,2000,DEC_SF3,Income,Household Income 60000 to 74999,21.0
190,2000,DEC_SF3,Income,Household Income 75000 to 99999,20.0
191,2000,DEC_SF3,Income,Household Income Greater than 200000,0.0
192,2000,DEC_SF3,Income,Household Income Less than 10000,0.0
193,2000,DEC_SF3,Income,Households Total for Income,83.0
194,2000,DEC_SF3,Income,Median Family Income,68214.28571428571
195,2000,DEC_SF3,Income,Median Household Income,68214.28571428571
196,2000,DEC_SF3,Income,Percent in Poverty,0.0
